SampleID,chao1,shannon,simpson,observed_features,faith_pd
NOD3A4.R5,277.9333333,5.101507916,0.94627536,202,8606.239052
NOD3O2.R14,165.5555556,5.054460253,0.92838488,158,7321.668106
NOD3O2.R9,112,3.939818783,0.82598632,100,4280.970802
NOD1S4.R2,213.3448276,3.887189702,0.8473868,164,7245.351195
NOD3D2.R4,158.6470588,4.158221563,0.85830776,138,6659.22737
NOD3D5.L3,450.7894737,5.275845453,0.93398136,317,11275.57875
NOD3A4.R1,186.25,3.910522968,0.77961232,165,7657.346518
NOD3D4.L1,113.1111111,2.535137721,0.60390256,92,4351.144936
NOD1S4.R4,164.25,3.90723207,0.82027048,141,7210.78675
NOD1S2.L7,142,4.226081591,0.8975668,113,5025.700577
PMM1O1.L4,152.1,4.364266428,0.8789612,129,6196.459197
NOD3F2.R3,209,4.057886514,0.85053384,156,7393.188529
NOD3F5.L3,268.0425532,4.38367292,0.87511768,221,9030.351412
PMM1D1.L1,196,3.663292385,0.8501584,147,7084.860449
NOD1S4.R6,160.0909091,4.455998266,0.8765024,135,6454.723554
PMM1O1.R3,155.5882353,3.331839002,0.81105032,112,6035.02653
NOD3F2.R4,133.4736842,2.709666053,0.67179536,115,5788.522714
NOD3D4.R3,329.2790698,6.371123193,0.9693292,296,11070.09559
NOD3F5.L5,257.7575758,4.88179717,0.91785544,216,9938.516978
PMM1O1.R5,152.2608696,3.966084351,0.83402352,144,6562.30655
PMM1O1.R6,142.4,4.244485693,0.8806292,131,5463.42309
NOD3O4.L4,255.9655172,3.892526592,0.79920816,182,7803.514386
PMM1P1.R7,345.525,5.457093604,0.93091224,278,10781.6865
NOD3F5.L7,173.5,3.787918632,0.8145544,148,6526.664419
NOD3F2.R7,178.7727273,4.383742193,0.89411128,159,7112.953304
NOD3O4.R1,239.516129,4.897447403,0.88961424,200,7990.783202
NOD3D4.R4,151.8666667,4.316625933,0.87453688,135,6656.913384
PMM1O1.R7,197.9545455,4.210121675,0.87113256,166,7698.627263
NOD3A5.L5,486.0652174,6.485946745,0.97703896,336,12457.33495
PMM1D1.L2,252.4,3.764207095,0.8291356,202,9603.691103
PMM1P1.L2,155.8,4.367302395,0.86858456,149,6985.850377
PMM1S1.L1,178.8,3.744884145,0.7678092,155,6777.829956
NOD3D5.L4,180.5454545,4.141589668,0.89902392,106,6141.916545
NOD3O4.R6,237.8378378,4.600003001,0.89835248,190,8204.252024
NOD3F5.R7,192.1818182,4.130105916,0.85027992,172,7673.764216
NOD3D5.L5,204.0384615,4.296912108,0.85050216,177,7910.231422
PMM1S1.L2,187.59375,4.23343218,0.88439344,169,7510.774332
PMM1P1.L5,167.5769231,3.354202307,0.74032112,146,6710.230968
PMM1D1.L4,206.0714286,3.824063494,0.85337168,172,7560.972876
NOD3A5.R1,378.6363636,5.87970451,0.95131856,278,10364.99466
NOD3D5.R2,232.5555556,4.628301965,0.89549816,189,8438.305308
PMM1P1.R1,121.8,3.037457969,0.71849144,108,5937.701282
NOD3O2.L10,192.6363636,4.218269983,0.85241368,164,6954.925731
NOD3A5.R3,251.6,4.576794379,0.91410808,210,8103.24313
PMM1D1.L5,138.3225806,2.6045438,0.6909808,118,6016.409649
NOD3O2.L14,179.1818182,2.904435193,0.6422924,139,6469.238082
PMM1P1.R2,220.2307692,4.037211671,0.81857992,154,7763.410121
PMM1D1.L8,192.4761905,4.359517038,0.88067144,159,6845.018473
NOD3F2.L1,200.2608696,3.208351998,0.70618568,147,6546.513061
PMM1S1.L4,186.7142857,3.25175028,0.81800416,126,6131.922989
NOD3O5.L1,107.8947368,2.111346992,0.51121056,85,4444.842288
PMM1O1.L1,146.8333333,4.055409222,0.87453704,134,6703.370538
NOD3F2.L2,158.2307692,3.804026005,0.76691152,137,6786.998992
NOD3A5.R6,254.030303,4.898012304,0.9287836,191,7747.695654
NOD3F2.L5,124.25,3.932547607,0.85877032,110,4883.460089
PMM1O1.L3,174.0588235,4.063434042,0.8705912,143,6739.614548
PMM1P1.R3,296.8333333,4.386997416,0.78970872,246,9869.862303
NOD3D2.C1,188.2857143,4.781018713,0.89203688,174,7748.743226
NOD3F4.L2,448.5909091,6.048173847,0.97112408,297,11158.20404
PMM1S1.L5,271.3448276,4.390360652,0.88828472,204,9618.353825
PMM1P1.R4,211.5517241,3.753580413,0.81899688,171,7980.108134
NOD3O5.L4,310.6190476,4.293306484,0.88828312,182,7647.217749
NOD3D2.C2,234.6818182,5.366905721,0.9457196,201,8726.402431
PMM1P1.R6,183.5652174,4.359434317,0.8663732,162,7577.907154
NOD3D2.C3,173.2,4.282572982,0.8997548,151,6646.017094
NOD3F4.L3,405.3859649,5.93323188,0.9531776,322,11616.4389
PMM1S1.L6,258.95,3.975146979,0.858418,202,8489.116312
NOD3O2.L9,180,4.862705012,0.92380824,150,6635.65579
NOD3F4.L4,270.4347826,6.053885621,0.96713864,233,9948.826455
PMM1S1.L7,237.5555556,4.430856011,0.86332688,194,8425.491542
NOD3O5.L5,218.5384615,4.853132381,0.924536,192,8620.686391
NOD3O2.R10,176,4.578633055,0.88061336,149,6842.563357
PMM1S1.L8,145.9,3.307637946,0.77977968,127,6262.855462
NOD3F4.R1,287.8863636,5.608971603,0.9404892,249,9943.263983
PMM1S1.R1,273.9230769,4.145312031,0.87091592,212,9361.590481
NOD3O5.R3,332.7179487,4.589772108,0.8970244,239,9906.799749
PMM1S1.R2,241.5,4.583472039,0.90014984,204,9067.592987
NOD3O5.R5,232.8484848,3.966539185,0.85992512,181,7546.523126
PMM1S1.R3,191,3.054397518,0.76991296,138,6684.428505
NOD3F4.R3,466.4565217,5.672692632,0.9487704,306,11514.92825
PMM1S1.R4,176.5384615,3.507409676,0.80482352,145,6623.22462
NOD3F4.R4,357.4565217,6.516528096,0.9739496,315,11336.50058
