Dataset	Frequency
MSV000079485	1
MSV000079697	558
MSV000079706	70
MSV000079707	32
MSV000079709	71
MSV000079710	61
MSV000079712	31
MSV000079714	50
MSV000079717	69
MSV000079718	59
MSV000079719	20
MSV000079720	101
MSV000080905	22
MSV000082082	1
MSV000082331	5
MSV000082433	163
MSV000082633	2
MSV000082952	4
MSV000082953	16
MSV000082973	7
MSV000083264	6
MSV000083320	1
MSV000083482	7
MSV000083541	2
MSV000083559	148
MSV000084314	16
MSV000084738	5
MSV000086415	141
MSV000086427	1
MSV000087087	47
MSV000087612	1
MSV000087728	14
MSV000087948	6
MSV000088137	74
MSV000088640	55
MSV000088842	2
MSV000089540	1
