"","cluster.index","keep_test","3DMM","3DMM-Blank","Urbanization-Blank","Urbanization-City","Urbanization-Jungle","Urbanization-Rural","Urbanization-Town"
"18941",578607,FALSE,0,0,0,107764,0,52692,19092
"18942",578613,FALSE,23029915494.7,584198798,0,0,0,0,0
"18943",578619,FALSE,0,0,0,172876,0,0,0
"18944",578637,FALSE,151766000,0,0,0,0,0,0
"18945",578640,FALSE,6579530380,221267500,0,0,0,0,0
"18946",578641,FALSE,236558550,0,0,0,0,0,0
"18947",578642,FALSE,1963528490,0,0,0,0,0,0
"18948",578643,FALSE,275999290,0,0,0,0,0,0
"18949",578644,FALSE,139529020,0,0,0,0,0,0
"18950",578647,FALSE,225771000,0,0,0,0,0,0
"18951",578649,FALSE,116512580,0,0,0,0,0,0
"18952",578651,FALSE,51905190,0,0,0,0,0,0
"18953",578652,FALSE,670274890,0,0,0,0,0,0
"18954",578654,FALSE,393623110,0,0,0,0,0,0
"18955",578665,FALSE,62374170,0,0,0,0,0,0
"18956",578666,FALSE,131912770,0,0,0,0,0,0
"18957",578672,FALSE,0,321556400,0,0,0,0,0
"18958",578673,FALSE,30568660,0,0,0,0,0,0
"18959",578675,FALSE,297055060,602604060,0,0,0,0,0
"18960",578680,FALSE,78421680,0,0,0,0,0,0
"18961",578685,FALSE,47457450,0,0,0,0,0,0
"18962",578689,FALSE,59409500,0,0,0,0,0,0
"18963",578702,FALSE,14584600,142592000,0,0,0,0,0
"18964",578703,FALSE,50707400,0,0,0,0,0,0
"18965",578727,FALSE,50177300,0,0,0,0,0,0
"18966",578776,FALSE,114411750,587262540,0,0,0,0,0
"18967",578792,FALSE,4553492.5,0,0,0,0,0,0
"18968",578801,FALSE,20557990,0,0,0,0,0,0
"18969",578814,FALSE,2235396,0,0,0,0,0,0
"18970",578824,FALSE,41255520,9578840,0,0,0,0,0
"18971",578835,FALSE,19408800,0,0,0,0,0,0
"18972",578844,FALSE,16974762,0,0,0,0,0,0
"18973",578848,FALSE,18524760,0,0,0,0,0,0
"18974",578870,FALSE,37752870,0,0,0,0,0,0
"18975",578877,FALSE,127541170,0,0,0,0,0,0
"18976",578940,FALSE,33452290,0,0,0,0,0,0
"18977",578948,FALSE,19723460,0,0,0,0,0,0
"18978",578992,FALSE,808769,559356,0,0,0,0,0
"18979",579082,FALSE,22112860,0,0,0,0,0,0
"18980",579083,FALSE,19508090,0,0,0,0,0,0
"18981",579340,FALSE,18664160,0,0,0,0,0,0
"18982",579370,FALSE,2232870,0,0,0,0,0,0
"18983",579423,FALSE,31715140,0,0,0,0,0,0
"18984",579526,FALSE,1597597,0,0,0,0,0,0
"18985",580444,FALSE,0,21806200,0,0,0,0,0
"18986",580692,FALSE,50321100,0,0,0,0,0,0
"18987",580943,FALSE,25058960,0,0,0,0,0,0
"18988",580975,FALSE,28446910,0,0,0,0,0,0
"18989",581849,FALSE,2624858,2277446,0,0,0,0,0
"18990",581851,FALSE,2267321800,0,0,0,0,0,0
"18991",581853,FALSE,4136864090,26888380,0,0,0,0,0
"18992",581854,FALSE,383163300,0,0,0,0,0,0
"18993",581855,FALSE,862666600,0,0,0,0,0,0
"18994",581857,FALSE,199577771,0,0,0,0,0,0
"18995",581859,FALSE,158992960,0,0,0,0,0,0
"18996",581860,FALSE,54118400,0,0,0,0,0,0
"18997",581863,FALSE,0,75978520,0,0,0,0,0
"18998",581864,FALSE,0,21188910,0,0,0,0,0
"18999",581866,FALSE,38228780,0,0,0,0,0,0
"19000",581867,FALSE,79362400,0,0,0,0,0,0
"19001",581868,FALSE,20527180,0,0,0,0,0,0
"19002",581869,FALSE,5896531,0,0,0,0,0,0
"19003",581870,FALSE,0,16572590,0,0,0,0,0
"19004",581871,FALSE,2503617800,0,0,0,0,0,0
"19005",581872,FALSE,14220860,0,0,0,0,0,0
"19006",581874,FALSE,45098250,588213510,0,0,0,0,0
"19007",581875,FALSE,183765770,0,0,0,0,0,0
"19008",581880,FALSE,10367820,0,0,0,0,0,0
"19009",581881,FALSE,578341700,0,0,0,0,0,0
"19010",581883,FALSE,184496099,0,0,0,0,0,0
"19011",581884,FALSE,253471620,0,0,0,0,0,0
"19012",581885,FALSE,444628700,0,0,0,0,0,0
"19013",581886,FALSE,513747630,0,0,0,0,0,0
"19014",581887,FALSE,2454931100,36952300,0,0,0,0,0
"19015",581888,FALSE,116636011,0,0,0,0,0,0
"19016",581890,FALSE,2891929900,0,0,0,0,0,0
"19017",581891,FALSE,286213666,0,0,0,0,0,0
"19018",581892,FALSE,68894000,0,0,0,0,0,0
"19019",581893,FALSE,129423100,0,0,0,0,0,0
"19020",581896,FALSE,0,24561000,0,0,0,0,0
"19021",581897,FALSE,98158210,0,0,0,0,0,0
"19022",581900,FALSE,61858000,0,0,0,0,0,0
"19023",581903,FALSE,215788574,0,0,0,0,0,0
"19024",581904,FALSE,9531820,0,0,0,0,0,0
"19025",581906,FALSE,61577500,21692080,0,0,0,0,0
"19026",581908,FALSE,0,19304047,0,0,0,0,0
"19027",581911,FALSE,932277410,0,0,0,0,0,0
"19028",581912,FALSE,1332305120,0,0,0,0,0,0
"19029",581916,FALSE,38420440,0,0,0,0,0,0
"19030",581919,FALSE,153183730,0,0,0,0,0,0
"19031",581921,FALSE,214640000,0,0,0,0,0,0
"19032",581923,FALSE,650987900,0,0,0,0,0,0
"19033",581924,FALSE,27319040,0,0,0,0,0,0
"19034",581927,FALSE,189082200,0,0,0,0,0,0
"19035",581928,FALSE,72872770,0,0,0,0,0,0
"19036",581933,FALSE,283313800,0,0,0,0,0,0
"19037",581935,FALSE,73153800,0,0,0,0,0,0
"19038",581942,FALSE,3544990,0,0,0,0,0,0
"19039",581946,FALSE,105963300,0,0,0,0,0,0
"19040",581947,FALSE,85303500,0,0,0,0,0,0
"19041",581951,FALSE,27496190,0,0,0,0,0,0
"19042",581956,FALSE,18510330,0,0,0,0,0,0
"19043",581959,FALSE,80421750,0,0,0,0,0,0
"19044",581961,FALSE,15583070,0,0,0,0,0,0
"19045",581962,FALSE,29358300,0,0,0,0,0,0
"19046",581964,FALSE,104266160,0,0,0,0,0,0
"19047",581967,FALSE,55995200,0,0,0,0,0,0
"19048",581971,FALSE,58222200,0,0,0,0,0,0
"19049",581972,FALSE,28806500,0,0,0,0,0,0
"19050",581973,FALSE,137210620,0,0,0,0,0,0
"19051",581982,FALSE,27278600,0,0,0,0,0,0
"19052",581984,FALSE,1620143,0,0,0,0,0,0
"19053",581985,FALSE,20755300,0,0,0,0,0,0
"19054",581986,FALSE,20631400,0,0,0,0,0,0
"19055",581987,FALSE,36977490,0,0,0,0,0,0
"19056",581990,FALSE,35218390,0,0,0,0,0,0
"19057",581998,FALSE,31341490,0,0,0,0,0,0
"19058",582007,FALSE,44244100,0,0,0,0,0,0
"19059",582016,FALSE,33872660,0,0,0,0,0,0
"19060",582018,FALSE,32181200,0,0,0,0,0,0
"19061",582019,FALSE,3219950,0,0,0,0,0,0
"19062",582031,FALSE,30443600,0,0,0,0,0,0
"19063",582088,FALSE,7252120,0,0,0,0,0,0
"19064",582089,FALSE,6082200,0,0,0,0,0,0
"19065",582098,TRUE,0,0,0,59268,138716,105564,102912
"19066",582099,TRUE,0,0,0,37628,75752,45008,27544
"19067",582100,TRUE,0,0,0,83468,60244,89556,126708
"19068",582104,TRUE,1120730,0,0,4824,10076,51872,38636
"19069",582105,TRUE,0,0,0,53680,22484,56120,33728
"19070",582106,TRUE,0,0,0,13744,22524,12356,10212
"19071",582110,FALSE,0,0,0,0,0,21708,5864
"19072",582122,FALSE,0,0,0,0,5520,0,10068
"19073",582138,FALSE,0,0,0,0,101104,0,0
"19074",582180,FALSE,0,0,0,0,0,0,32644
"19075",582184,FALSE,6988470,9325342,0,0,0,0,0
"19076",582201,FALSE,15406180,0,0,0,0,0,0
"19077",582202,FALSE,0,1439471,0,0,0,0,0
"19078",582218,FALSE,4021610,0,0,0,0,0,0
"19079",582226,FALSE,26915800,0,0,0,0,0,0
"19080",582229,FALSE,15200258,0,0,0,0,0,0
"19081",582266,FALSE,1641436,4276723,0,0,0,0,0
"19082",582286,FALSE,0,0,0,79140,0,0,0
"19083",582293,FALSE,205829337,2689228,0,0,0,0,0
"19084",582302,FALSE,0,0,0,143064,0,0,0
"19085",582495,FALSE,0,0,0,0,0,26416,14224
"19086",582496,FALSE,3707340,0,0,0,0,0,0
"19087",582505,FALSE,14845312,0,0,0,0,0,0
"19088",582506,FALSE,42393251,0,0,0,0,0,0
"19089",582510,FALSE,0,0,0,36532,334296,782692,288012
"19090",582511,FALSE,0,0,0,434108,5801152,6222892,4471068
"19091",582513,FALSE,2824273,10495093,112588,1282108,17093076,17994856,13516164
"19092",582514,FALSE,0,0,0,353900,3852900,5151060,2852212
"19093",582519,FALSE,0,0,0,126840,1086644,1561284,1438448
"19094",582535,FALSE,0,0,0,142140,1039516,1569368,1342576
"19095",582540,FALSE,0,0,0,29032,961492,747068,1100500
"19096",582545,FALSE,0,0,0,32304,216916,108804,290412
"19097",582550,FALSE,0,0,0,0,0,0,329208
"19098",582555,FALSE,0,0,0,0,148160,168568,146592
"19099",582588,FALSE,0,0,0,0,0,0,155368
"19100",582617,FALSE,0,0,0,0,64084,0,26876
"19101",582639,FALSE,0,0,0,0,46048,83828,0
"19102",582640,FALSE,0,0,0,0,0,0,118872
"19103",582643,FALSE,0,0,0,0,70636,45196,0
"19104",582814,FALSE,0,0,0,71080,0,0,0
"19105",582815,FALSE,3665620,0,0,0,0,0,0
"19106",582817,FALSE,2385258,0,0,0,0,0,0
"19107",582818,FALSE,17849815,0,0,0,0,0,0
"19108",582819,FALSE,0,0,0,193252,0,0,0
"19109",582820,FALSE,0,0,0,338980,0,0,374668
"19110",582821,FALSE,388648740,0,0,0,0,0,0
"19111",582822,FALSE,8451183950,255563,0,0,0,0,0
"19112",582823,FALSE,165326399,0,0,0,0,0,0
"19113",582826,FALSE,6449990,209374,0,0,0,0,0
"19114",582827,FALSE,0,33163235,0,0,0,0,0
"19115",582828,FALSE,0,1486764,0,0,0,0,0
"19116",582829,FALSE,767809220,49209572,0,0,0,0,0
"19117",582830,FALSE,0,0,0,187868,0,0,0
"19118",582832,FALSE,0,8919688,0,0,0,0,0
"19119",582833,FALSE,0,9362822,0,0,0,0,0
"19120",582836,FALSE,0,0,0,0,60516,0,0
"19121",582844,FALSE,6473520,0,0,0,0,0,0
"19122",582847,FALSE,216161409.8,14734363,0,0,0,0,0
"19123",582859,FALSE,17548136,0,0,0,0,0,0
"19124",582861,FALSE,16656431,447808,0,0,0,0,0
"19125",582862,FALSE,10685947,0,0,0,0,0,0
"19126",582939,FALSE,0,1303616,0,0,0,0,0
"19127",582965,FALSE,0,0,0,0,9348,1364,0
"19128",582966,FALSE,187901880,8125580,0,0,0,0,0
"19129",582968,FALSE,7516557,446502,0,0,0,0,0
"19130",582969,FALSE,0,0,0,68016,1848,0,12980
"19131",582970,FALSE,0,0,0,25508,0,0,0
"19132",582971,FALSE,0,0,0,19444,0,0,0
"19133",582976,FALSE,5827358,6332950,0,0,0,0,0
"19134",582980,FALSE,14325958,0,0,0,0,0,0
"19135",582986,FALSE,34879717,0,0,0,0,0,0
"19136",582993,FALSE,1549538,0,0,0,0,0,0
"19137",583003,FALSE,38799756,1207531,0,0,0,0,0
"19138",583015,FALSE,23802998,328430,0,0,0,0,0
"19139",583022,FALSE,5146546,0,0,0,0,0,0
"19140",583030,FALSE,2125194,0,0,0,0,0,0
"19141",583038,FALSE,1787730,0,0,0,0,0,0
"19142",583040,FALSE,1905556,0,0,0,0,0,0
"19143",583081,FALSE,937969,0,0,0,0,0,0
"19144",583129,FALSE,1589185,0,0,0,0,0,0
"19145",583147,FALSE,1304105,0,0,0,0,0,0
