Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000088137:mars00102:scan:1261	1.0	11	NoID
0.0	mzspec:MSV000088137:mars00089:scan:1276	1.0	11	NoID
0.0	mzspec:MSV000088137:mars00026:scan:1285	1.0	11	NoID
0.0	mzspec:MSV000088137:mars00042:scan:1292	1.0	11	NoID
0.0	mzspec:MSV000088137:mars00092:scan:1286	1.0	11	NoID
0.0	mzspec:MSV000082953:P2_B11:scan:1790	1.0	11	NoID
0.0	mzspec:MSV000087612:45:scan:1264	1.0	11	NoID
0.0	mzspec:MSV000087612:43:scan:1242	1.0	11	NoID
0.0	mzspec:MSV000087612:26:scan:1248	1.0	11	NoID
0.0	mzspec:MSV000088137:2133:scan:1269	1.0	11	NoID
0.0	mzspec:MSV000088137:mars00062:scan:1281	1.0	11	NoID
0.0	mzspec:MSV000087948:CMI_YC1_05ul:scan:1279	1.0	11	NoID
0.0	mzspec:MSV000086415:50102088:scan:1253	1.0	11	NoID
0.0	mzspec:MSV000088137:mars00086:scan:1284	1.0	11	NoID
0.0	mzspec:MSV000086415:20283691:scan:1272	1.0	11	NoID
0.0	mzspec:MSV000088137:2087:scan:1283	1.0	11	NoID
-0.0	mzspec:MSV000088137:2207:scan:1317	1.0	11	NoID
-0.0	mzspec:MSV000088137:mars00120:scan:1280	1.0	11	NoID
0.0	mzspec:MSV000086415:7287209:scan:1252	1.0	11	NoID
0.0	mzspec:MSV000088842:32C:scan:1359	1.0	11	NoID
0.0	mzspec:MSV000088137:2168:scan:1280	1.0	11	NoID
0.0	mzspec:MSV000082953:Pooled_QC_mid_180918211632:scan:1844	1.0	11	NoID
0.0	mzspec:MSV000088137:2064:scan:1268	1.0	11	NoID
0.0	mzspec:MSV000086415:10290427:scan:1270	1.0	11	NoID
-0.0	mzspec:MSV000088137:2089:scan:1270	1.0	11	NoID
0.0	mzspec:MSV000087087:5556614:scan:1296	1.0	11	NoID
0.0	mzspec:MSV000087087:5556671:scan:1300	1.0	11	NoID
0.0	mzspec:MSV000083475:1907_EMPv2_SIRIUS:scan:1167	1.0	11	NoID
0.0	mzspec:MSV000082953:P2_A6:scan:1869	1.0	11	NoID
0.0	mzspec:MSV000082953:P3_C2:scan:1761	1.0	11	NoID
0.0	mzspec:MSV000082953:P2_D10:scan:1798	1.0	11	NoID
0.0	mzspec:MSV000087087:5556749:scan:1287	1.0	11	NoID
0.0	mzspec:MSV000087087:5556667:scan:1293	1.0	11	NoID
0.0	mzspec:MSV000087087:5556668:scan:1299	1.0	11	NoID
0.0	mzspec:MSV000083475:7D3_blank:scan:1167	1.0	11	NoID
0.0	mzspec:MSV000085944:skin_03_600_UB:scan:1350	1.0	11	NoID
0.0	mzspec:MSV000086415:79692387:scan:1271	1.0	11	NoID
0.0	mzspec:MSV000087612:74:scan:1246	1.0	11	NoID
0.0	mzspec:MSV000087612:51:scan:1233	1.0	11	NoID
0.0	mzspec:MSV000087612:69:scan:1234	1.0	11	NoID
0.0	mzspec:MSV000086415:21000478:scan:1262	1.0	11	NoID
0.0	mzspec:MSV000087087:5556731:scan:1287	1.0	11	NoID
-0.0	mzspec:MSV000088640:6035112:scan:1298	1.0	11	NoID
0.0	mzspec:MSV000088640:6034862:scan:1288	1.0	11	NoID
0.0	mzspec:MSV000087087:5556760:scan:1291	1.0	11	NoID
0.0	mzspec:MSV000086415:57978468:scan:1257	1.0	11	NoID
0.0	mzspec:MSV000087087:5556730:scan:1295	1.0	11	NoID
0.0	mzspec:MSV000082433:blank_extractionsolvent_1:scan:1494	1.0	11	NoID
0.0	mzspec:MSV000086415:40510997:scan:1256	1.0	11	NoID
0.0	mzspec:MSV000086415:96244639:scan:1264	1.0	11	NoID
0.0	mzspec:MSV000088137:2141:scan:1263	1.0	11	NoID
-0.0	mzspec:MSV000088137:mars00029:scan:1287	1.0	11	NoID
0.0	mzspec:MSV000086415:21001771:scan:1259	1.0	11	NoID
0.0	mzspec:MSV000088137:mars00006:scan:1268	1.0	11	NoID
0.0	mzspec:MSV000088137:2224:scan:1259	1.0	11	NoID
0.0	mzspec:MSV000086415:21156103:scan:1268	1.0	11	NoID
0.0	mzspec:MSV000082953:P3_C10:scan:1781	1.0	11	NoID
0.0	mzspec:MSV000086415:95453354:scan:1270	1.0	11	NoID
0.0	mzspec:MSV000086415:37527863:scan:1249	1.0	11	NoID
