file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G78972_2x_RB10_01_19120	-0.0	mzspec:MSV000084900:G78972_2x_RB10_01_19120:scan:933	1	0.95	8	MSV000084900	NoID	MSV000084900	G78972_2x_RB10_01_19120.mzXML	saigon cinnamon
mzspec:MSV000084900:G79639_5x_BH3_01_18894	0.0	mzspec:MSV000084900:G79639_5x_BH3_01_18894:scan:929	1	0.91	7	MSV000084900	NoID	MSV000084900	G79639_5x_BH3_01_18894.mzXML	grapefruit
mzspec:MSV000084900:G75188_1x_BG2_01_17333	-0.0	mzspec:MSV000084900:G75188_1x_BG2_01_17333:scan:799	1	0.9	7	MSV000084900	NoID	MSV000084900	G75188_1x_BG2_01_17333.mzXML	borage leaf
mzspec:MSV000084900:75219_1x_20ul_BD8_01_21381	0.0	mzspec:MSV000084900:75219_1x_20ul_BD8_01_21381:scan:914	1	0.9	6	MSV000084900	NoID	MSV000084900	75219_1x_20ul_BD8_01_21381.mzXML	grain/grass
mzspec:MSV000084900:G74079_1x_RD8_01_18545	0.0	mzspec:MSV000084900:G74079_1x_RD8_01_18545:scan:914	1	0.89	7	MSV000084900	NoID	MSV000084900	G74079_1x_RD8_01_18545.mzXML	grain/grass
mzspec:MSV000084900:G75194_1x_BG10_01_17340	-0.0	mzspec:MSV000084900:G75194_1x_BG10_01_17340:scan:1334	1	0.74	5	MSV000084900	NoID	MSV000084900	G75194_1x_BG10_01_17340.mzXML	curry plant
mzspec:MSV000084900:RA12_RA12_01_49065	0.0	mzspec:MSV000084900:RA12_RA12_01_49065:scan:1128	1	0.74	5	MSV000084900	NoID	MSV000084900	RA12_RA12_01_49065.mzXML	pear
mzspec:MSV000084900:G87536_1x_RC8_01_26265	0.0	mzspec:MSV000084900:G87536_1x_RC8_01_26265:scan:1012	1	0.72	6	MSV000084900	NoID	MSV000084900	G87536_1x_RC8_01_26265.mzXML	betel nut
mzspec:MSV000084900:RB3_RB3_01_49068	-0.02	mzspec:MSV000084900:RB3_RB3_01_49068:scan:780	1	0.71	6	MSV000084900	NoID	MSV000084900	RB3_RB3_01_49068.mzXML	sage
mzspec:MSV000084900:RA7_RA7_01_49059	-0.0	mzspec:MSV000084900:RA7_RA7_01_49059:scan:807	1	0.71	5	MSV000084900	NoID	MSV000084900	RA7_RA7_01_49059.mzXML	rosemary
mzspec:MSV000084900:G87452_1x_rerun_BB9_01_26144	-0.0	mzspec:MSV000084900:G87452_1x_rerun_BB9_01_26144:scan:802	1	0.7	5	MSV000084900	NoID	MSV000084900	G87452_1x_rerun_BB9_01_26144.mzXML	vegetable/herb
