file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G000073462_170522183406	-0.0	mzspec:MSV000084900:G000073462_170522183406:scan:3675	1	0.79	7	MSV000084900	NoID	MSV000084900	G000073462_170522183406.mzXML	complex
mzspec:MSV000084900:G95760_5x_BC5_01_32058	-0.0	mzspec:MSV000084900:G95760_5x_BC5_01_32058:scan:2184	1	0.77	5	MSV000084900	NoID	MSV000084900	G95760_5x_BC5_01_32058.mzXML	White tea
mzspec:MSV000084900:18NAVY27_v2_snk_1_GH7_01_39524	-0.0	mzspec:MSV000084900:18NAVY27_v2_snk_1_GH7_01_39524:scan:2188	1	0.76	7	MSV000084900	NoID	MSV000084900	18NAVY27_v2_snk_1_GH7_01_39524.mzXML	plant
mzspec:MSV000084900:G95822_1x_BC2_01_32264	-0.0	mzspec:MSV000084900:G95822_1x_BC2_01_32264:scan:2173	1	0.76	6	MSV000084900	NoID	MSV000084900	G95822_1x_BC2_01_32264.mzXML	cherry tomato
mzspec:MSV000084900:16NAVY05_v1_lun_2_rerun_GE3_01_39625	-0.0	mzspec:MSV000084900:16NAVY05_v1_lun_2_rerun_GE3_01_39625:scan:2192	1	0.75	7	MSV000084900	NoID	MSV000084900	16NAVY05_v1_lun_2_rerun_GE3_01_39625.mzXML	apple
mzspec:MSV000084900:G79531_5x_BA7_01_19872	-0.0	mzspec:MSV000084900:G79531_5x_BA7_01_19872:scan:2182	1	0.75	6	MSV000084900	NoID	MSV000084900	G79531_5x_BA7_01_19872.mzXML	complex
mzspec:MSV000084900:G86754_10x_RF4_01_23199	-0.0	mzspec:MSV000084900:G86754_10x_RF4_01_23199:scan:2161	1	0.75	6	MSV000084900	NoID	MSV000084900	G86754_10x_RF4_01_23199.mzXML	Green tea
mzspec:MSV000084900:G86706_1x_RA10_01_21728	-0.0	mzspec:MSV000084900:G86706_1x_RA10_01_21728:scan:2084	1	0.74	6	MSV000084900	NoID	MSV000084900	G86706_1x_RA10_01_21728.mzXML	complex
mzspec:MSV000084900:18NAVY27_v2_brk_3_GD8_01_39556	-0.0	mzspec:MSV000084900:18NAVY27_v2_brk_3_GD8_01_39556:scan:2198	1	0.74	6	MSV000084900	NoID	MSV000084900	18NAVY27_v2_brk_3_GD8_01_39556.mzXML	fruit
mzspec:MSV000084900:G86824_1x_RF6_01_23364	0.0	mzspec:MSV000084900:G86824_1x_RF6_01_23364:scan:2182	1	0.74	6	MSV000084900	NoID	MSV000084900	G86824_1x_RF6_01_23364.mzXML	oregano
mzspec:MSV000084900:G95804_1x_BB4_01_32259	-0.0	mzspec:MSV000084900:G95804_1x_BB4_01_32259:scan:2167	1	0.74	5	MSV000084900	NoID	MSV000084900	G95804_1x_BB4_01_32259.mzXML	cherry tomato
mzspec:MSV000084900:G79314_1x_rerun_RA5_01_18837	-0.0	mzspec:MSV000084900:G79314_1x_rerun_RA5_01_18837:scan:2187	1	0.73	6	MSV000084900	NoID	MSV000084900	G79314_1x_rerun_RA5_01_18837.mzXML	lemon grass
mzspec:MSV000084900:18NAVY28_v2_sup_3_BA6_01_39746	-0.0	mzspec:MSV000084900:18NAVY28_v2_sup_3_BA6_01_39746:scan:2184	1	0.73	6	MSV000084900	NoID	MSV000084900	18NAVY28_v2_sup_3_BA6_01_39746.mzXML	chicken
mzspec:MSV000084900:18NAVY28_v2_snk_2_BB5_01_39761	-0.0	mzspec:MSV000084900:18NAVY28_v2_snk_2_BB5_01_39761:scan:2193	1	0.73	6	MSV000084900	NoID	MSV000084900	18NAVY28_v2_snk_2_BB5_01_39761.mzXML	carrot
mzspec:MSV000084900:G72714_10x_BG9_01_17925	-0.0	mzspec:MSV000084900:G72714_10x_BG9_01_17925:scan:2129	1	0.73	6	MSV000084900	NoID	MSV000084900	G72714_10x_BG9_01_17925.mzXML	churro
mzspec:MSV000084900:G86733_1x_rerun_RE5_01_23440	-0.0	mzspec:MSV000084900:G86733_1x_rerun_RE5_01_23440:scan:2157	1	0.73	6	MSV000084900	NoID	MSV000084900	G86733_1x_rerun_RE5_01_23440.mzXML	pear
mzspec:MSV000084900:G96092_1x_RA11_01_32084	-0.0	mzspec:MSV000084900:G96092_1x_RA11_01_32084:scan:2147	1	0.73	6	MSV000084900	NoID	MSV000084900	G96092_1x_RA11_01_32084.mzXML	cherry tomato
mzspec:MSV000084900:G73972_2x_5ul_rerun_RE7_01_19199	-0.01	mzspec:MSV000084900:G73972_2x_5ul_rerun_RE7_01_19199:scan:2194	1	0.73	6	MSV000084900	NoID	MSV000084900	G73972_2x_5ul_rerun_RE7_01_19199.mzXML	complex
mzspec:MSV000084900:15NAVY01_v1_lun_2_GB5_01_39627	-0.0	mzspec:MSV000084900:15NAVY01_v1_lun_2_GB5_01_39627:scan:2194	1	0.73	6	MSV000084900	NoID	MSV000084900	15NAVY01_v1_lun_2_GB5_01_39627.mzXML	fruit
mzspec:MSV000084900:G95788_5x_BA5_01_32028	-0.0	mzspec:MSV000084900:G95788_5x_BA5_01_32028:scan:2169	1	0.73	5	MSV000084900	NoID	MSV000084900	G95788_5x_BA5_01_32028.mzXML	Green tea
mzspec:MSV000084900:G83360_1x_BB11_01_21879	-0.0	mzspec:MSV000084900:G83360_1x_BB11_01_21879:scan:2045	1	0.73	5	MSV000084900	NoID	MSV000084900	G83360_1x_BB11_01_21879.mzXML	complex
mzspec:MSV000084900:G79691_5x_RC12_01_19500	-0.0	mzspec:MSV000084900:G79691_5x_RC12_01_19500:scan:2182	1	0.73	5	MSV000084900	NoID	MSV000084900	G79691_5x_RC12_01_19500.mzXML	black olive
mzspec:MSV000084900:G87501_1x_10ul_RC2_01_26517	-0.0	mzspec:MSV000084900:G87501_1x_10ul_RC2_01_26517:scan:2164	1	0.73	5	MSV000084900	NoID	MSV000084900	G87501_1x_10ul_RC2_01_26517.mzXML	fleshy fruit
mzspec:MSV000084900:Amazon_1_2x_RA1_01_21596	-0.0	mzspec:MSV000084900:Amazon_1_2x_RA1_01_21596:scan:2102	1	0.73	5	MSV000084900	NoID	MSV000084900	Amazon_1_2x_RA1_01_21596.mzXML	yellow cassava
mzspec:MSV000084900:G83450_1x_RF9_01_21836	-0.0	mzspec:MSV000084900:G83450_1x_RF9_01_21836:scan:2170	1	0.72	6	MSV000084900	NoID	MSV000084900	G83450_1x_RF9_01_21836.mzXML	complex
mzspec:MSV000084900:G79298_1x_RG6_01_20351	-0.0	mzspec:MSV000084900:G79298_1x_RG6_01_20351:scan:2172	1	0.72	6	MSV000084900	NoID	MSV000084900	G79298_1x_RG6_01_20351.mzXML	cucumber
mzspec:MSV000084900:78841_1x_BD6_01_17433	0.0	mzspec:MSV000084900:78841_1x_BD6_01_17433:scan:2197	1	0.72	6	MSV000084900	NoID	MSV000084900	78841_1x_BD6_01_17433.mzXML	complex
mzspec:MSV000084900:G95761_5x_BB6_01_32043	-0.0	mzspec:MSV000084900:G95761_5x_BB6_01_32043:scan:2171	1	0.72	6	MSV000084900	NoID	MSV000084900	G95761_5x_BB6_01_32043.mzXML	White tea
mzspec:MSV000084900:G87481_1x_RE5_01_26296	0.0	mzspec:MSV000084900:G87481_1x_RE5_01_26296:scan:2165	1	0.72	6	MSV000084900	NoID	MSV000084900	G87481_1x_RE5_01_26296.mzXML	meyer lemon
mzspec:MSV000084900:G83350_1x_BH9_01_21909	-0.0	mzspec:MSV000084900:G83350_1x_BH9_01_21909:scan:2082	1	0.72	6	MSV000084900	NoID	MSV000084900	G83350_1x_BH9_01_21909.mzXML	complex
