Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000087948:CMI_YB7_05ul:scan:1862	0.89	7	NoID
-0.0	mzspec:MSV000087948:CMI_YB2_05ul:scan:1872	0.85	8	NoID
-0.0	mzspec:MSV000087948:CMI_YB8_05ul:scan:1864	0.85	6	NoID
0.0	mzspec:MSV000082406:CAM0002_BB7_01_1930:scan:3144	0.78	5	NoID
0.0	mzspec:MSV000087948:CMI_YB4_05ul:scan:1891	0.75	5	NoID
0.0	mzspec:MSV000087948:CMI_YB6_05ul:scan:1879	0.74	6	NoID
0.0	mzspec:MSV000087948:CMI_YB3_05ul:scan:1896	0.73	6	NoID
0.0	mzspec:MSV000082406:CAM0193_BA11_01_1921:scan:3145	0.71	5	NoID
