Dataset	Frequency
MSV000079034	37
MSV000079069	37
MSV000079356	1
MSV000079389	174
MSV000079485	3
MSV000079516	1
MSV000079521	1
MSV000079523	2
MSV000079598	2
MSV000079697	741
MSV000079706	96
MSV000079707	53
MSV000079709	87
MSV000079710	97
MSV000079712	47
MSV000079714	61
MSV000079717	83
MSV000079718	60
MSV000079719	33
MSV000079720	130
MSV000079813	57
MSV000079819	6
MSV000079900	1
MSV000080030	6
MSV000080031	1
MSV000080141	1
MSV000080142	3
MSV000080176	4
MSV000080178	8
MSV000080182	1
MSV000080183	1
MSV000080188	13
MSV000080299	28
MSV000080335	9
MSV000080442	4
MSV000080443	6
MSV000080444	3
MSV000080450	1
MSV000080507	5
MSV000080554	1
MSV000080562	10
MSV000080574	3
MSV000080627	29
MSV000080673	1
MSV000080905	48
MSV000080961	6
MSV000081045	1
MSV000081050	2
MSV000081065	1
MSV000081067	7
MSV000081077	1
MSV000081171	54
MSV000081350	34
MSV000081379	151
MSV000081463	47
MSV000081486	1
MSV000081582	4
MSV000081682	1
MSV000081683	1
MSV000081694	120
MSV000081731	8
MSV000081893	1
MSV000081952	1
MSV000081955	8
MSV000081981	1
MSV000082074	26
MSV000082082	4
MSV000082083	76
MSV000082084	1
MSV000082085	3
MSV000082086	6
MSV000082261	1
MSV000082312	10
MSV000082331	21
MSV000082380	5
MSV000082432	93
MSV000082433	286
MSV000082490	205
MSV000082493	83
MSV000082608	7
MSV000082612	3
MSV000082616	2
MSV000082629	49
MSV000082633	35
MSV000082635	7
MSV000082636	1
MSV000082674	46
MSV000082708	1
MSV000082739	2
MSV000082869	60
MSV000082891	41
MSV000082924	113
MSV000082952	3
MSV000082953	269
MSV000082969	3
MSV000083010	2
MSV000083024	21
MSV000083073	14
MSV000083077	1
MSV000083094	1
MSV000083106	9
MSV000083264	4
MSV000083274	4
MSV000083300	42
MSV000083302	1
MSV000083306	94
MSV000083320	506
MSV000083365	4
MSV000083396	11
MSV000083462	1
MSV000083475	75
MSV000083521	12
MSV000083522	7
MSV000083523	4
MSV000083541	33
MSV000083559	239
MSV000083631	1
MSV000083729	3
MSV000083756	1
MSV000083759	1
MSV000083772	40
MSV000083835	2
MSV000083889	12
MSV000084020	4
MSV000084060	1
MSV000084099	2
MSV000084112	1
MSV000084116	5
MSV000084152	8
MSV000084218	9
MSV000084219	13
MSV000084314	65
MSV000084322	4
MSV000084463	1
MSV000084590	1
MSV000084595	1
MSV000084674	2
MSV000084716	2
MSV000084734	1
MSV000084744	1
MSV000084762	1
MSV000084900	12
MSV000085071	1
MSV000085119	37
MSV000085120	1
MSV000085129	10
MSV000085142	1
MSV000085256	1
MSV000085389	1
MSV000085446	3
MSV000085467	104
MSV000085480	94
MSV000085508	2
MSV000085713	1
MSV000085779	14
MSV000085843	1
MSV000085844	4
MSV000085852	21
MSV000085858	1
MSV000085862	10
MSV000085864	2
MSV000085922	1
MSV000085944	252
MSV000086014	4
MSV000086158	1
MSV000086208	8
MSV000086209	45
MSV000086221	8
MSV000086236	8
MSV000086270	3
MSV000086293	1
MSV000086314	1
MSV000086415	336
MSV000086427	19
MSV000086644	2
MSV000086676	5
MSV000086830	2
MSV000086882	7
MSV000086989	1
MSV000087087	64
MSV000087127	2
MSV000087359	1
MSV000087368	11
MSV000087612	59
MSV000087685	7
MSV000087702	2
MSV000087711	11
MSV000087728	250
MSV000087747	1
MSV000087844	4
MSV000087948	9
MSV000087951	1
MSV000087995	5
MSV000088008	9
MSV000088021	269
MSV000088040	1
MSV000088087	9
MSV000088137	197
MSV000088164	38
MSV000088242	54
MSV000088594	1
MSV000088606	4
MSV000088640	46
MSV000088646	2
MSV000088697	2
MSV000088821	2
MSV000088823	18
MSV000088842	138
MSV000088967	1
MSV000089210	1
MSV000089491	1
