file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G73519_1x_RG11_01_18588	-0.0	mzspec:MSV000084900:G73519_1x_RG11_01_18588:scan:2314	1	0.75	7	MSV000084900	NoID	MSV000084900	G73519_1x_RG11_01_18588.mzXML	grain_fermented
mzspec:MSV000084900:G79223_5x_RE9_01_19528	-0.0	mzspec:MSV000084900:G79223_5x_RE9_01_19528:scan:2295	1	0.74	6	MSV000084900	NoID	MSV000084900	G79223_5x_RE9_01_19528.mzXML	plant
mzspec:MSV000084900:18NAVY28_v2_snk_3_BC5_01_39762	-0.0	mzspec:MSV000084900:18NAVY28_v2_snk_3_BC5_01_39762:scan:2318	1	0.74	6	MSV000084900	NoID	MSV000084900	18NAVY28_v2_snk_3_BC5_01_39762.mzXML	plant
mzspec:MSV000084900:G72807_2x_RF9_01_19187	-0.01	mzspec:MSV000084900:G72807_2x_RF9_01_19187:scan:2270	1	0.74	6	MSV000084900	NoID	MSV000084900	G72807_2x_RF9_01_19187.mzXML	white rice
mzspec:MSV000084900:18NAVY27_v1_lun_4_BE4_01_39691	-0.0	mzspec:MSV000084900:18NAVY27_v1_lun_4_BE4_01_39691:scan:2319	1	0.73	7	MSV000084900	NoID	MSV000084900	18NAVY27_v1_lun_4_BE4_01_39691.mzXML	plant
mzspec:MSV000084900:18NAVY30_v2_lun_6_GD7_01_39636	-0.0	mzspec:MSV000084900:18NAVY30_v2_lun_6_GD7_01_39636:scan:2319	1	0.73	6	MSV000084900	NoID	MSV000084900	18NAVY30_v2_lun_6_GD7_01_39636.mzXML	corn
mzspec:MSV000084900:G86978_1x_RH3_01_26469	-0.0	mzspec:MSV000084900:G86978_1x_RH3_01_26469:scan:2294	1	0.73	6	MSV000084900	NoID	MSV000084900	G86978_1x_RH3_01_26469.mzXML	plant
mzspec:MSV000084900:G75834_5x_4ul_BE4_01_19721	-0.0	mzspec:MSV000084900:G75834_5x_4ul_BE4_01_19721:scan:2300	1	0.73	6	MSV000084900	NoID	MSV000084900	G75834_5x_4ul_BE4_01_19721.mzXML	Black tea
mzspec:MSV000084900:G75078_2x_RC2_01_19126	-0.0	mzspec:MSV000084900:G75078_2x_RC2_01_19126:scan:2301	1	0.73	6	MSV000084900	NoID	MSV000084900	G75078_2x_RC2_01_19126.mzXML	cashew
mzspec:MSV000084900:G86895_1x_BA12_01_23127	0.0	mzspec:MSV000084900:G86895_1x_BA12_01_23127:scan:2321	1	0.73	6	MSV000084900	NoID	MSV000084900	G86895_1x_BA12_01_23127.mzXML	complex
mzspec:MSV000084900:G79719_5x_2ul_BB6_01_19652	-0.0	mzspec:MSV000084900:G79719_5x_2ul_BB6_01_19652:scan:2285	1	0.73	5	MSV000084900	NoID	MSV000084900	G79719_5x_2ul_BB6_01_19652.mzXML	White tea
mzspec:MSV000084900:16NAVY05_v1_brk_3_GE2_01_39543	-0.0	mzspec:MSV000084900:16NAVY05_v1_brk_3_GE2_01_39543:scan:2330	1	0.72	6	MSV000084900	NoID	MSV000084900	16NAVY05_v1_brk_3_GE2_01_39543.mzXML	complex
mzspec:MSV000084900:G83339_1x_RG2_01_21723	0.0	mzspec:MSV000084900:G83339_1x_RG2_01_21723:scan:2295	1	0.72	6	MSV000084900	NoID	MSV000084900	G83339_1x_RG2_01_21723.mzXML	complex
mzspec:MSV000084900:G72496_2x_RC8_01_19133	-0.0	mzspec:MSV000084900:G72496_2x_RC8_01_19133:scan:2309	1	0.72	6	MSV000084900	NoID	MSV000084900	G72496_2x_RC8_01_19133.mzXML	plant
mzspec:MSV000084900:G78842_BE12_01_19014	-0.0	mzspec:MSV000084900:G78842_BE12_01_19014:scan:2318	1	0.72	6	MSV000084900	NoID	MSV000084900	G78842_BE12_01_19014.mzXML	complex
mzspec:MSV000084900:G95770_5x_BB10_01_32049	-0.0	mzspec:MSV000084900:G95770_5x_BB10_01_32049:scan:2290	1	0.72	6	MSV000084900	NoID	MSV000084900	G95770_5x_BB10_01_32049.mzXML	Pu'er tea
mzspec:MSV000084900:G83335_1x_RE2_01_21814	-0.0	mzspec:MSV000084900:G83335_1x_RE2_01_21814:scan:2289	1	0.72	6	MSV000084900	NoID	MSV000084900	G83335_1x_RE2_01_21814.mzXML	complex
mzspec:MSV000084900:G75163_rerun_5ul_RD5_01_17668	-0.0	mzspec:MSV000084900:G75163_rerun_5ul_RD5_01_17668:scan:2274	1	0.72	6	MSV000084900	NoID	MSV000084900	G75163_rerun_5ul_RD5_01_17668.mzXML	long grain white rice
mzspec:MSV000084900:18NAVY30_v1_sup_5_BD8_01_39788	-0.0	mzspec:MSV000084900:18NAVY30_v1_sup_5_BD8_01_39788:scan:2304	1	0.72	6	MSV000084900	NoID	MSV000084900	18NAVY30_v1_sup_5_BD8_01_39788.mzXML	rice
mzspec:MSV000084900:G75213_1x_BB3_01_17260	-0.0	mzspec:MSV000084900:G75213_1x_BB3_01_17260:scan:2323	1	0.72	6	MSV000084900	NoID	MSV000084900	G75213_1x_BB3_01_17260.mzXML	japanese eggplant
mzspec:MSV000084900:18NAVY28_v2_snk_1_BA5_01_39784	-0.0	mzspec:MSV000084900:18NAVY28_v2_snk_1_BA5_01_39784:scan:2292	1	0.72	6	MSV000084900	NoID	MSV000084900	18NAVY28_v2_snk_1_BA5_01_39784.mzXML	complex
mzspec:MSV000084900:G86830_1x_BG4_01_23215	-0.0	mzspec:MSV000084900:G86830_1x_BG4_01_23215:scan:2277	1	0.72	6	MSV000084900	NoID	MSV000084900	G86830_1x_BG4_01_23215.mzXML	complex
mzspec:MSV000084900:G72744_10x_BF4_01_17852	0.0	mzspec:MSV000084900:G72744_10x_BF4_01_17852:scan:2321	1	0.72	6	MSV000084900	NoID	MSV000084900	G72744_10x_BF4_01_17852.mzXML	plant
mzspec:MSV000084900:G78819_rerun_BC12_01_19079	-0.0	mzspec:MSV000084900:G78819_rerun_BC12_01_19079:scan:2311	1	0.72	6	MSV000084900	NoID	MSV000084900	G78819_rerun_BC12_01_19079.mzXML	complex
mzspec:MSV000084900:G87543_1x_BB5_01_26557	0.0	mzspec:MSV000084900:G87543_1x_BB5_01_26557:scan:2286	1	0.72	6	MSV000084900	NoID	MSV000084900	G87543_1x_BB5_01_26557.mzXML	complex
