Delta Mass	USI	Cosine	Matching Peaks	Status
-0.0	mzspec:MSV000083541:Swab_compatability_study_20190426_sirius:scan:38506	0.8	10	NoID
-0.0	mzspec:MSV000083541:S1_blank_50MeOH_171006000047:scan:2381	0.79	10	NoID
0.0	mzspec:MSV000081351:39143:scan:2393	0.79	10	NoID
-0.0	mzspec:MSV000081351:38720:scan:2477	0.79	10	NoID
0.0	mzspec:MSV000083541:S1_90MeOH:scan:2363	0.79	10	NoID
-0.0	mzspec:MSV000081351:39086:scan:2497	0.79	10	NoID
-0.0	mzspec:MSV000081351:38967:scan:2388	0.79	10	NoID
-0.0	mzspec:MSV000081351:39134:scan:2498	0.79	10	NoID
-0.0	mzspec:MSV000081351:38857:scan:2507	0.78	10	NoID
-0.0	mzspec:MSV000081351:39048:scan:2464	0.78	10	NoID
-0.0	mzspec:MSV000083541:S1_blank_90MeOH_171006024157:scan:2362	0.78	10	NoID
-0.0	mzspec:MSV000081351:38701:scan:2497	0.78	10	NoID
-0.0	mzspec:MSV000081351:39112:scan:2503	0.78	10	NoID
0.0	mzspec:MSV000081351:38735:scan:2473	0.77	10	NoID
-0.0	mzspec:MSV000081351:39128:scan:2402	0.77	10	NoID
-0.0	mzspec:MSV000081351:38947:scan:2499	0.77	10	NoID
0.0	mzspec:MSV000082629:16NAVY04_V2_20160220:scan:2362	0.77	10	NoID
-0.0	mzspec:MSV000081351:39090:scan:2406	0.77	10	NoID
-0.0	mzspec:MSV000081351:39115:scan:2433	0.77	10	NoID
-0.0	mzspec:MSV000081351:39123:scan:2433	0.77	10	NoID
0.0	mzspec:MSV000079773:C03_Swab_2012_016_4_C:scan:2252	0.77	9	NoID
-0.0	mzspec:MSV000081351:38998:scan:2427	0.76	10	NoID
-0.0	mzspec:MSV000081351:39110:scan:2451	0.76	10	NoID
-0.0	mzspec:MSV000081351:38925:scan:2464	0.76	10	NoID
-0.0	mzspec:MSV000081351:39118:scan:2451	0.76	10	NoID
-0.0	mzspec:MSV000083541:S1_90EtOH_171006160448:scan:2335	0.76	10	NoID
-0.0	mzspec:MSV000081351:38812:scan:2298	0.75	10	NoID
-0.0	mzspec:MSV000081351:39025:scan:2596	0.75	10	NoID
-0.0	mzspec:MSV000083541:S1_blank_90EtOH_171006013450:scan:2358	0.74	9	NoID
0.0	mzspec:MSV000079773:C01_Swab_2012_016_0_C:scan:2294	0.74	9	NoID
-0.02	mzspec:MSV000084314:MSV000081351:scan:125111	0.74	9	NoID
-0.0	mzspec:MSV000083541:S1_blank_50MeOH_171005234720:scan:2361	0.74	9	NoID
-0.0	mzspec:MSV000083541:S1_90MeOH_171006171155:scan:2362	0.73	9	NoID
-0.0	mzspec:MSV000081351:38977:scan:2479	0.73	9	NoID
-0.0	mzspec:MSV000081351:38914:scan:2450	0.73	9	NoID
0.0	mzspec:MSV000081351:38817:scan:2647	0.73	9	NoID
0.0	mzspec:MSV000081351:38832:scan:2405	0.73	9	NoID
-0.0	mzspec:MSV000081351:38824:scan:2460	0.73	9	NoID
-0.0	mzspec:MSV000081351:38707:scan:2461	0.73	9	NoID
-0.0	mzspec:MSV000081351:38969:scan:2461	0.73	9	NoID
-0.0	mzspec:MSV000081351:38882:scan:2470	0.73	9	NoID
-0.0	mzspec:MSV000081351:39014:scan:2447	0.73	9	NoID
-0.0	mzspec:MSV000083541:S1_90EtOH_171006161813:scan:2364	0.73	9	NoID
-0.0	mzspec:MSV000081351:39022:scan:2429	0.73	9	NoID
-0.0	mzspec:MSV000081351:38800:scan:2451	0.73	9	NoID
0.0	mzspec:MSV000081351:38912:scan:2466	0.73	9	NoID
-0.0	mzspec:MSV000081351:38989:scan:2537	0.73	9	NoID
-0.0	mzspec:MSV000083541:S1_90EtOH:scan:2343	0.73	9	NoID
-0.0	mzspec:MSV000083541:S1_blank_100H2O:scan:2364	0.73	9	NoID
-0.0	mzspec:MSV000081351:38954:scan:2469	0.73	9	NoID
-0.0	mzspec:MSV000083541:S1_blank_50EtOH_171006004106:scan:2360	0.73	9	NoID
-0.0	mzspec:MSV000081351:38743:scan:2503	0.73	9	NoID
-0.0	mzspec:MSV000081351:38734:scan:2410	0.73	9	NoID
-0.0	mzspec:MSV000083541:S1_50EtOH_171006151106:scan:2364	0.73	9	NoID
-0.0	mzspec:MSV000081351:38754:scan:2436	0.72	9	NoID
-0.0	mzspec:MSV000081351:39133:scan:2457	0.72	9	NoID
-0.0	mzspec:MSV000081351:38986:scan:2349	0.72	9	NoID
-0.0	mzspec:MSV000081351:38898:scan:2366	0.72	9	NoID
-0.0	mzspec:MSV000081351:38929:scan:2416	0.72	9	NoID
-0.0	mzspec:MSV000081351:38906:scan:2517	0.72	9	NoID
-0.0	mzspec:MSV000081351:38899:scan:2532	0.72	9	NoID
-0.0	mzspec:MSV000083541:S1_blank_100H2O_171005225338:scan:2377	0.72	9	NoID
-0.0	mzspec:MSV000083541:S1_90MeOH_171006165830:scan:2372	0.72	9	NoID
-0.0	mzspec:MSV000083541:S1_50MeOH_171006143047:scan:2367	0.72	9	NoID
-0.0	mzspec:MSV000081351:39126:scan:2540	0.72	9	NoID
-0.0	mzspec:MSV000081351:39136:scan:2556	0.72	9	NoID
-0.0	mzspec:MSV000081351:38849:scan:2678	0.72	9	NoID
-0.0	mzspec:MSV000081351:38859:scan:2352	0.72	9	NoID
0.0	mzspec:MSV000081351:38708:scan:2542	0.72	9	NoID
