Delta Mass	USI	Cosine	Matching Peaks	Status
-0.0	mzspec:MSV000083559:11713.18.S.18E:scan:2557	0.97	8	NoID
0.01	mzspec:MSV000083559:11713.18.S.18F:scan:2547	0.97	8	NoID
0.0	mzspec:MSV000081351:38994:scan:2876	0.96	8	NoID
-0.02	mzspec:MSV000081108:G000073460_170522180710:scan:2902	0.94	8	NoID
-0.02	mzspec:MSV000084900:G000073460_170522180710:scan:2902	0.94	8	NoID
-0.02	mzspec:MSV000083010:G000073460_170522180710:scan:2902	0.94	8	NoID
0.0	mzspec:MSV000081351:38744:scan:3684	0.9	8	NoID
0.01	mzspec:MSV000081351:38806:scan:3559	0.9	8	NoID
0.01	mzspec:MSV000081351:39109:scan:3702	0.9	8	NoID
0.01	mzspec:MSV000081351:38730:scan:3580	0.89	8	NoID
0.01	mzspec:MSV000081351:38695:scan:3610	0.89	8	NoID
-0.03	mzspec:MSV000088842:30A:scan:2403	0.89	7	NoID
0.01	mzspec:MSV000083541:Swab_compatability_study_20190426_sirius:scan:39833	0.88	8	NoID
0.01	mzspec:MSV000083541:S1_50MeOH_171006143047:scan:3543	0.88	8	NoID
0.01	mzspec:MSV000081351:38947:scan:3652	0.88	8	NoID
0.01	mzspec:MSV000081351:38694:scan:3575	0.88	7	NoID
0.01	mzspec:MSV000081351:38775:scan:3661	0.87	8	NoID
0.01	mzspec:MSV000081351:38945:scan:3578	0.87	8	NoID
0.01	mzspec:MSV000081351:38719:scan:3552	0.87	7	NoID
0.01	mzspec:MSV000081351:Solvent_Blank_10:scan:3380	0.87	7	NoID
0.01	mzspec:MSV000083541:S1_blank_50MeOH:scan:3597	0.86	8	NoID
0.01	mzspec:MSV000081351:38857:scan:3635	0.86	8	NoID
0.01	mzspec:MSV000081351:38792:scan:3628	0.86	8	NoID
0.01	mzspec:MSV000083541:S1_50EtOH_171006151106:scan:3586	0.86	8	NoID
0.01	mzspec:MSV000081351:38725:scan:3599	0.86	8	NoID
0.01	mzspec:MSV000081351:38915:scan:3631	0.86	7	NoID
0.01	mzspec:MSV000081351:38976:scan:3474	0.86	7	NoID
0.01	mzspec:MSV000081351:38846:scan:3603	0.86	7	NoID
0.0	mzspec:MSV000081351:38747:scan:3713	0.86	7	NoID
0.01	mzspec:MSV000081351:38869:scan:3489	0.86	7	NoID
0.01	mzspec:MSV000081351:38944:scan:3512	0.86	7	NoID
0.01	mzspec:MSV000081351:38966:scan:3620	0.86	7	NoID
0.01	mzspec:MSV000081351:38826:scan:3636	0.86	7	NoID
0.01	mzspec:MSV000081351:38700:scan:3590	0.86	7	NoID
0.01	mzspec:MSV000081351:38914:scan:3588	0.85	8	NoID
0.01	mzspec:MSV000083475:5A1_2_2_angenent-65-s001-a04:scan:2690	0.85	7	NoID
0.01	mzspec:MSV000081351:39112:scan:3638	0.85	7	NoID
0.01	mzspec:MSV000081351:38762:scan:3659	0.85	7	NoID
0.01	mzspec:MSV000081351:38997:scan:3480	0.85	7	NoID
0.01	mzspec:MSV000081351:39106:scan:3557	0.85	7	NoID
0.01	mzspec:MSV000081351:38716:scan:3855	0.85	7	NoID
