Delta Mass	USI	Cosine	Matching Peaks	Status
-0.0	mzspec:MSV000085944:skin_02_0_OF:scan:2197	0.96	10	NoID
-0.0	mzspec:MSV000088842:36B:scan:2070	0.93	8	NoID
-0.0	mzspec:MSV000085944:skin_02_30_OF:scan:2168	0.9	9	NoID
-0.0	mzspec:MSV000088842:36A:scan:2053	0.9	8	NoID
-0.0	mzspec:MSV000088842:8E:scan:2191	0.9	8	NoID
-0.0	mzspec:MSV000088842:45B:scan:2059	0.9	8	NoID
0.0	mzspec:MSV000082953:MzMine_Export_MS2Filtered_forGNPS:scan:10804	0.89	10	NoID
-0.0	mzspec:MSV000085944:skin_02_720_OF:scan:2187	0.89	8	NoID
-0.0	mzspec:MSV000085944:skin_10_30_UB:scan:2069	0.89	8	NoID
-0.0	mzspec:MSV000088842:36D:scan:1982	0.89	8	NoID
-0.0	mzspec:MSV000088842:14E:scan:2228	0.89	8	NoID
-0.0	mzspec:MSV000088842:15D:scan:2173	0.89	8	NoID
0.01	mzspec:MSV000083300:BP000098423_p:scan:2249	0.88	9	NoID
-0.0	mzspec:MSV000088842:7D:scan:2204	0.88	9	NoID
-0.0	mzspec:MSV000086666:01003-88-27:scan:2711	0.88	8	NoID
-0.0	mzspec:MSV000085944:skin_03_1440_FH:scan:2107	0.88	8	NoID
-0.0	mzspec:MSV000088842:15B:scan:2164	0.88	8	NoID
-0.0	mzspec:MSV000088842:45A:scan:2061	0.88	8	NoID
-0.0	mzspec:MSV000085944:skin_03_0_FH:scan:2085	0.88	8	NoID
0.01	mzspec:MSV000083541:S3_90EtOH:scan:2653	0.87	9	NoID
-0.0	mzspec:MSV000081343:Wash_12:scan:1337	0.87	9	NoID
0.01	mzspec:MSV000083300:BP000098494_p:scan:2253	0.87	9	NoID
0.0	mzspec:MSV000085944:skin_10_0_OF:scan:2023	0.87	8	NoID
-0.0	mzspec:MSV000085944:skin_10_0_UB:scan:2038	0.87	8	NoID
0.01	mzspec:MSV000083300:BP000096841_p:scan:2264	0.87	8	NoID
0.01	mzspec:MSV000083300:BP000096993_p:scan:2268	0.87	8	NoID
-0.0	mzspec:MSV000088842:15C:scan:2182	0.87	8	NoID
-0.0	mzspec:MSV000088646:284864_Y1:scan:2097	0.87	8	NoID
-0.0	mzspec:MSV000085944:skin_10_60_OF:scan:2055	0.87	8	NoID
0.01	mzspec:MSV000083300:BP000097073_p:scan:2266	0.87	8	NoID
0.01	mzspec:MSV000083541:S3_blank_90MeOH:scan:2678	0.86	8	NoID
0.01	mzspec:MSV000083300:BP000096865_p:scan:2257	0.86	8	NoID
0.01	mzspec:MSV000083300:BP000097149_p:scan:2265	0.86	8	NoID
0.01	mzspec:MSV000083300:BP000096968_p:scan:2256	0.86	8	NoID
0.01	mzspec:MSV000083541:Swab_compatability_study_20190426_sirius:scan:57174	0.86	8	NoID
0.01	mzspec:MSV000083300:BP000097024_p:scan:2248	0.86	8	NoID
-0.0	mzspec:MSV000082953:P4_B11:scan:2988	0.85	9	NoID
0.01	mzspec:MSV000083300:BP000096833_p:scan:2235	0.85	9	NoID
-0.0	mzspec:MSV000082433:M-232:scan:2216	0.85	8	NoID
-0.0	mzspec:MSV000083631:190617_190418_SIRIUS:scan:3424	0.85	8	NoID
0.01	mzspec:MSV000083300:BP000096856_p:scan:2254	0.85	8	NoID
-0.0	mzspec:MSV000086666:01003-88-19:scan:2592	0.85	8	NoID
0.01	mzspec:MSV000083300:BP000096992_p:scan:2256	0.84	8	NoID
-0.0	mzspec:MSV000085944:skin_10_600_UB:scan:2071	0.84	8	NoID
0.01	mzspec:MSV000083300:BP000097156_p:scan:2264	0.84	8	NoID
0.01	mzspec:MSV000083300:BP000098415_p:scan:2248	0.84	8	NoID
-0.0	mzspec:MSV000085944:skin_10_480_OF:scan:2092	0.84	7	NoID
0.01	mzspec:MSV000083300:BP000096872_p:scan:2258	0.83	8	NoID
-0.0	mzspec:MSV000088823:Interlab-LC-MS_Lab2_QC_Pos_MS2_Rep1:scan:1934	0.83	8	NoID
0.01	mzspec:MSV000083300:BP000096977_p:scan:2247	0.83	8	NoID
0.01	mzspec:MSV000083541:S3_blank_90MeOH_171006121302:scan:2688	0.83	8	NoID
-0.0	mzspec:MSV000087809:Interlab-LC-MS_Lab2_QC_Pos_MS2_Rep1:scan:1934	0.83	8	NoID
-0.0	mzspec:MSV000086666:01003-88-26:scan:2629	0.83	7	NoID
-0.0	mzspec:MSV000085944:skin_10_30_OF:scan:2028	0.83	7	NoID
0.01	mzspec:MSV000083300:BP000098422_p:scan:2250	0.82	8	NoID
