Delta Mass	USI	Cosine	Matching Peaks	Status
-0.03	mzspec:MSV000087948:CMI_YB4_05ul:scan:1355	0.77	10	NoID
-0.04	mzspec:MSV000083559:11713.24.F.24B:scan:1252	0.76	10	NoID
-0.04	mzspec:MSV000083559:11713.9.S.9E:scan:1265	0.76	9	NoID
-0.04	mzspec:MSV000083559:11713.21.F.21E.P2:scan:1253	0.75	10	NoID
-0.04	mzspec:MSV000083559:11713.14.O.14D:scan:1264	0.75	9	NoID
-0.04	mzspec:MSV000083559:11713.18.S.18A.WYH6:scan:1273	0.74	9	NoID
-0.04	mzspec:MSV000083559:11713.1.F.1D:scan:1275	0.73	10	NoID
-0.04	mzspec:MSV000083559:11713.5.F.5F:scan:1252	0.73	10	NoID
-0.04	mzspec:MSV000083559:11713.13.S.13E:scan:1281	0.73	9	NoID
-0.04	mzspec:MSV000083559:11713.3.O.3A:scan:1264	0.73	9	NoID
-0.04	mzspec:MSV000083559:11713.17.O.17C:scan:1248	0.73	9	NoID
-0.04	mzspec:MSV000083559:11713.12.F.8.12A:scan:1264	0.73	9	NoID
-0.04	mzspec:MSV000083559:11713.1.F.1B:scan:1265	0.73	9	NoID
-0.04	mzspec:MSV000083559:11713.4.S.4D:scan:1274	0.72	9	NoID
-0.04	mzspec:MSV000083559:11713.1.F.1A:scan:1279	0.72	9	NoID
-0.04	mzspec:MSV000083559:11713.16.O.16G:scan:1255	0.72	9	NoID
-0.04	mzspec:MSV000083559:11713.6.O.6D:scan:1266	0.72	9	NoID
-0.04	mzspec:MSV000083559:11713.17.S.17D:scan:1272	0.72	9	NoID
-0.04	mzspec:MSV000083559:11713.15.O.15G:scan:1260	0.72	8	NoID
-0.04	mzspec:MSV000083559:11713.Swab.Ctrl.2:scan:1271	0.72	8	NoID
-0.04	mzspec:MSV000083559:11713.6.O.6E:scan:1277	0.71	10	NoID
-0.04	mzspec:MSV000083559:11713.11.F.11G:scan:1267	0.71	9	NoID
-0.04	mzspec:MSV000083559:11713.22.F.22E:scan:1286	0.71	9	NoID
-0.04	mzspec:MSV000083559:11713.5.O.5E.WYG11:scan:1274	0.71	9	NoID
-0.04	mzspec:MSV000083559:11713.20.F.20D:scan:1261	0.71	9	NoID
-0.04	mzspec:MSV000083559:11713.10.O.10F:scan:1272	0.71	9	NoID
-0.04	mzspec:MSV000083559:11713.16.S.16E:scan:1259	0.71	8	NoID
-0.04	mzspec:MSV000083559:11713.13.O.13D:scan:1268	0.7	9	NoID
-0.04	mzspec:MSV000083559:11713.10.S.10B:scan:1272	0.7	9	NoID
-0.04	mzspec:MSV000083559:11713.14.S.14C:scan:1281	0.7	9	NoID
-0.04	mzspec:MSV000083559:11713.17.O.17H:scan:1263	0.7	9	NoID
-0.04	mzspec:MSV000083559:11713.3.O.3G:scan:1274	0.7	9	NoID
-0.04	mzspec:MSV000083559:11713.12.O.12F:scan:1264	0.7	8	NoID
-0.04	mzspec:MSV000083559:11713.15.O.15D:scan:1258	0.7	8	NoID
