Dataset	Frequency
MSV000078667	10
MSV000078668	1
MSV000078669	2
MSV000078670	10
MSV000078839	9
MSV000078847	1
MSV000078891	24
MSV000079015	4
MSV000079034	15
MSV000079069	7
MSV000079181	5
MSV000079274	1
MSV000079312	1
MSV000079320	1
MSV000079329	28
MSV000079389	31
MSV000079523	106
MSV000079598	99
MSV000079651	1
MSV000079697	645
MSV000079706	97
MSV000079707	52
MSV000079709	52
MSV000079710	82
MSV000079712	61
MSV000079714	81
MSV000079717	83
MSV000079718	60
MSV000079719	32
MSV000079720	37
MSV000079772	9
MSV000079773	20
MSV000079808	9
MSV000079813	59
MSV000079819	16
MSV000079888	16
MSV000079900	1
MSV000080015	34
MSV000080016	3
MSV000080030	47
MSV000080031	6
MSV000080142	461
MSV000080167	230
MSV000080176	52
MSV000080177	20
MSV000080178	32
MSV000080179	429
MSV000080180	1
MSV000080181	16
MSV000080183	3
MSV000080186	171
MSV000080187	258
MSV000080188	129
MSV000080299	337
MSV000080335	19
MSV000080377	4
MSV000080450	1
MSV000080464	1
MSV000080469	23
MSV000080492	4
MSV000080507	89
MSV000080518	19
MSV000080533	3
MSV000080554	1
MSV000080559	22
MSV000080562	28
MSV000080574	61
MSV000080597	1
MSV000080604	6
MSV000080616	1
MSV000080627	74
MSV000080628	117
MSV000080629	137
MSV000080630	50
MSV000080632	1
MSV000080673	55
MSV000080905	350
MSV000080912	6
MSV000080922	2
MSV000080960	17
MSV000080961	6
MSV000080974	1
MSV000081005	13
MSV000081064	4
MSV000081065	7
MSV000081067	118
MSV000081068	11
MSV000081077	3
MSV000081097	1
MSV000081116	3
MSV000081151	26
MSV000081152	2
MSV000081160	5
MSV000081171	13
MSV000081176	21
MSV000081284	1
MSV000081318	10
MSV000081343	67
MSV000081347	11
MSV000081351	52
MSV000081354	32
MSV000081357	25
MSV000081364	18
MSV000081432	3
MSV000081456	24
MSV000081463	17
MSV000081482	2
MSV000081492	15
MSV000081508	44
MSV000081513	4
MSV000081544	4
MSV000081548	19
MSV000081555	7
MSV000081571	2
MSV000081580	5
MSV000081581	1
MSV000081582	238
MSV000081665	7
MSV000081673	1
MSV000081675	1
MSV000081676	2
MSV000081681	2
MSV000081682	3
MSV000081694	29
MSV000081731	81
MSV000081751	1
MSV000081778	1
MSV000081804	12
MSV000081807	4
MSV000081808	55
MSV000081810	3
MSV000081816	13
MSV000081853	1
MSV000081936	2
MSV000081949	3
MSV000081952	131
MSV000081981	49
MSV000081999	2
MSV000082005	2
MSV000082048	6
MSV000082049	14
MSV000082069	1
MSV000082074	14
MSV000082081	10
MSV000082082	132
MSV000082083	322
MSV000082084	48
MSV000082085	90
MSV000082086	43
MSV000082157	3
MSV000082261	26
MSV000082262	10
MSV000082277	21
MSV000082312	126
MSV000082324	2
MSV000082331	28
MSV000082374	7
MSV000082377	7
MSV000082380	78
MSV000082382	1
MSV000082406	13
MSV000082428	1
MSV000082432	15
MSV000082433	186
MSV000082463	5
MSV000082480	10
MSV000082490	6
MSV000082582	203
MSV000082602	20
MSV000082608	18
MSV000082614	3
MSV000082616	1
MSV000082629	20
MSV000082630	141
MSV000082633	66
MSV000082647	71
MSV000082649	21
MSV000082650	3
MSV000082662	1
MSV000082667	9
MSV000082674	10
MSV000082678	17
MSV000082680	9
MSV000082691	2
MSV000082712	1
MSV000082728	7
MSV000082735	3
MSV000082740	1
MSV000082743	15
MSV000082778	1
MSV000082802	116
MSV000082813	11
MSV000082869	87
MSV000082891	3
MSV000082905	2
MSV000082924	29
MSV000082952	19
MSV000082953	293
MSV000082962	2
MSV000082969	1
MSV000082972	11
MSV000082973	106
MSV000082999	7
MSV000083010	14
MSV000083024	22
MSV000083032	1
MSV000083049	10
MSV000083065	2
MSV000083073	24
MSV000083077	199
MSV000083083	40
MSV000083094	1
MSV000083098	45
MSV000083106	1
MSV000083110	5
MSV000083134	15
MSV000083183	1
MSV000083264	12
MSV000083268	4
MSV000083274	12
MSV000083300	115
MSV000083306	224
MSV000083320	356
MSV000083365	82
MSV000083372	40
MSV000083383	102
MSV000083387	24
MSV000083388	13
MSV000083396	3
MSV000083462	147
MSV000083475	86
MSV000083481	1
MSV000083482	30
MSV000083483	2
MSV000083521	20
MSV000083522	50
MSV000083523	60
MSV000083541	46
MSV000083559	545
MSV000083593	121
MSV000083605	1
MSV000083631	2
MSV000083632	10
MSV000083647	45
MSV000083651	6
MSV000083660	17
MSV000083664	17
MSV000083665	16
MSV000083678	4
MSV000083705	5
MSV000083729	2
MSV000083756	69
MSV000083757	80
MSV000083772	102
MSV000083789	11
MSV000083791	13
MSV000083798	47
MSV000083825	9
MSV000083835	89
MSV000083875	10
MSV000083888	11
MSV000083889	197
MSV000084010	20
MSV000084016	118
MSV000084020	3
MSV000084030	1
MSV000084060	1
MSV000084092	4
MSV000084095	171
MSV000084101	1
MSV000084112	29
MSV000084116	65
MSV000084118	4
MSV000084119	27
MSV000084132	6
MSV000084143	28
MSV000084152	25
MSV000084158	30
MSV000084165	1
MSV000084192	1
MSV000084218	16
MSV000084219	6
MSV000084278	9
MSV000084312	3
MSV000084314	220
MSV000084322	3
MSV000084325	3
MSV000084460	1
MSV000084556	27
MSV000084590	3
MSV000084591	1
MSV000084595	5
MSV000084628	6
MSV000084630	1
MSV000084674	37
MSV000084734	1
MSV000084738	17
MSV000084741	145
MSV000084744	10
MSV000084753	96
MSV000084755	11
MSV000084783	227
MSV000084873	10
MSV000084879	1
MSV000084884	12
MSV000084900	16
MSV000084904	2
MSV000084907	1
MSV000084951	4
MSV000084955	3
MSV000085000	7
MSV000085024	11
MSV000085025	20
MSV000085031	1
MSV000085042	2
MSV000085071	1
MSV000085107	60
MSV000085129	70
MSV000085141	1
MSV000085142	1
MSV000085226	1
MSV000085256	87
MSV000085261	23
MSV000085326	1
MSV000085352	38
