Dataset	Frequency
MSV000078668	1
MSV000078891	2
MSV000080183	4
MSV000080905	22
MSV000081160	1
MSV000081343	1
MSV000081482	2
MSV000082433	310
MSV000082582	2
MSV000082614	6
MSV000082616	3
MSV000082618	2
MSV000082629	40
MSV000082695	13
MSV000082699	6
MSV000082701	2
MSV000082705	7
MSV000082706	12
MSV000082708	11
MSV000082714	9
MSV000082719	2
MSV000082722	16
MSV000082724	3
MSV000082725	6
MSV000082726	1
MSV000082727	13
MSV000082730	6
MSV000082732	10
MSV000082735	1
MSV000082741	58
MSV000082891	54
MSV000082953	286
MSV000083073	1
MSV000083475	29
MSV000083541	1
MSV000083660	2
MSV000083665	172
MSV000083705	3
MSV000083798	4
MSV000084016	15
MSV000084062	1
MSV000084107	1
MSV000084355	25
MSV000085142	22
MSV000085389	34
MSV000085561	1
MSV000085991	5
MSV000086131	12
MSV000086208	56
MSV000086209	168
MSV000086221	56
MSV000086415	4
MSV000086676	41
MSV000087087	65
MSV000087612	1
MSV000087646	3
MSV000087728	1
MSV000088137	80
MSV000088564	1
MSV000088640	9
MSV000089540	4
