Delta Mass	USI	Cosine	Matching Peaks	Status
-0.0	mzspec:MSV000083559:11713.6.F.6C:scan:252	0.87	5	NoID
-0.0	mzspec:MSV000084314:MSV000083559:scan:20554	0.86	5	NoID
-0.0	mzspec:MSV000083559:11713.2.F.2D:scan:244	0.83	5	NoID
0.0	mzspec:MSV000083559:11713.15.F.15H:scan:242	0.83	5	NoID
-0.04	mzspec:MSV000083559:11713.11.O.11E:scan:241	0.82	5	NoID
0.0	mzspec:MSV000083559:11713.11.F.11D:scan:260	0.82	5	NoID
-0.0	mzspec:MSV000083559:11713.Swab.Ctrl.1.3:scan:276	0.8	5	NoID
0.0	mzspec:MSV000083559:11713.17.F.17A:scan:230	0.78	5	NoID
-0.04	mzspec:MSV000083559:11713.8.F.8A:scan:251	0.78	5	NoID
-0.0	mzspec:MSV000083559:11713.4.F.4C:scan:246	0.77	5	NoID
0.0	mzspec:MSV000083559:11713.15.O.15G:scan:258	0.77	5	NoID
-0.03	mzspec:MSV000083559:11713.10.O.10H:scan:262	0.77	5	NoID
-0.03	mzspec:MSV000083559:11713.11.O.11F:scan:245	0.77	5	NoID
-0.0	mzspec:MSV000083559:11713.13.F.13C:scan:222	0.77	5	NoID
0.0	mzspec:MSV000083559:11713.12.F.12E:scan:240	0.76	5	NoID
0.0	mzspec:MSV000083559:11713.18.F.18G:scan:245	0.76	5	NoID
-0.0	mzspec:MSV000087612:88:scan:177	0.76	5	NoID
-0.0	mzspec:MSV000083559:11713.24.S.24A:scan:221	0.75	5	NoID
-0.0	mzspec:MSV000083559:11713.17.F.17B:scan:242	0.75	5	NoID
-0.0	mzspec:MSV000083559:11713.9.S.9C:scan:262	0.75	5	NoID
-0.0	mzspec:MSV000083300:BP000096847_p:scan:179	0.75	5	NoID
-0.0	mzspec:MSV000083559:11713.11.S.11G:scan:261	0.74	5	NoID
0.0	mzspec:MSV000083559:11713.25.S.25G:scan:238	0.74	5	NoID
0.0	mzspec:MSV000083559:11713.1.S.1F:scan:233	0.74	5	NoID
-0.0	mzspec:MSV000087612:29:scan:182	0.74	5	NoID
0.0	mzspec:MSV000083559:11713.25.S.25C:scan:243	0.74	5	NoID
-0.03	mzspec:MSV000083559:11713.25.F.25B:scan:257	0.74	5	NoID
-0.0	mzspec:MSV000083559:11713.2.O.2C:scan:226	0.73	5	NoID
-0.0	mzspec:MSV000083559:11713.2.F.2A:scan:259	0.73	5	NoID
0.0	mzspec:MSV000083559:11713.10.O.10D:scan:244	0.73	5	NoID
0.0	mzspec:MSV000083559:11713.8.S.8D:scan:257	0.73	5	NoID
0.0	mzspec:MSV000083559:11713.1.O.1D:scan:247	0.73	5	NoID
0.0	mzspec:MSV000083559:11713.15.S.15G:scan:258	0.73	5	NoID
0.0	mzspec:MSV000083559:11713.10.O.10E:scan:252	0.73	5	NoID
0.0	mzspec:MSV000083559:11713.11.S.11B:scan:231	0.73	5	NoID
0.0	mzspec:MSV000083559:11713.9.S.9F:scan:247	0.73	5	NoID
-0.0	mzspec:MSV000083559:11713.11.O.11D_rep:scan:232	0.73	5	NoID
-0.0	mzspec:MSV000083300:BP000096873_p:scan:193	0.73	5	NoID
-0.03	mzspec:MSV000083559:11713.22.F.22D:scan:247	0.72	5	NoID
-0.03	mzspec:MSV000083559:11713.2.S.2F:scan:243	0.72	5	NoID
0.0	mzspec:MSV000083559:11713.11.O.11B:scan:239	0.71	5	NoID
-0.0	mzspec:MSV000083559:11713.24.O.24C:scan:211	0.71	5	NoID
0.0	mzspec:MSV000083559:11713.20.S.20G:scan:222	0.71	5	NoID
-0.03	mzspec:MSV000083559:11713.25.S.25A:scan:265	0.71	5	NoID
0.0	mzspec:MSV000083559:11713.1.S.1G:scan:224	0.71	5	NoID
-0.0	mzspec:MSV000080627:ONR_Stool_11:scan:209	0.71	5	NoID
-0.0	mzspec:MSV000083559:11713.10.S.10A:scan:262	0.71	5	NoID
-0.0	mzspec:MSV000083559:11713.8.F.8B:scan:243	0.71	5	NoID
-0.03	mzspec:MSV000083559:11713.24.F.24B:scan:265	0.7	5	NoID
-0.0	mzspec:MSV000087612:6:scan:186	0.7	5	NoID
0.0	mzspec:MSV000083559:11713.21.S.21B:scan:278	0.7	5	NoID
