Dataset	Frequency
MSV000079389	13
MSV000079485	40
MSV000079558	1
MSV000079697	385
MSV000079706	13
MSV000079707	18
MSV000079709	77
MSV000079710	37
MSV000079712	13
MSV000079714	7
MSV000079717	71
MSV000079718	28
MSV000079719	14
MSV000079720	114
MSV000080030	1
MSV000080181	2
MSV000080182	1
MSV000080299	2
MSV000080442	52
MSV000080443	35
MSV000080444	25
MSV000080559	1
MSV000080627	32
MSV000080905	28
MSV000081343	3
MSV000081379	55
MSV000081582	7
MSV000081694	11
MSV000082171	1
MSV000082173	1
MSV000082312	16
MSV000082331	7
MSV000082432	1
MSV000082433	240
MSV000082674	34
MSV000082924	9
MSV000082953	212
MSV000083264	4
MSV000083320	137
MSV000083372	1
MSV000083462	1
MSV000083521	18
MSV000083522	5
MSV000083559	275
MSV000083632	2
MSV000083772	13
MSV000083888	2
MSV000083889	1
MSV000084119	1
MSV000084314	28
MSV000084322	2
MSV000084463	1
MSV000084738	1
MSV000085129	1
MSV000085864	1
MSV000085944	127
MSV000086208	2
MSV000086209	2
MSV000086221	2
MSV000086415	249
MSV000086427	1
MSV000087005	1
MSV000087087	75
MSV000087612	40
MSV000087728	6
MSV000087948	10
MSV000088021	135
MSV000088137	261
MSV000088164	26
MSV000088640	100
MSV000088842	183
MSV000089540	10
MSV000089558	4
