Dataset	Frequency
MSV000079034	1
MSV000079598	6
MSV000079697	799
MSV000079706	83
MSV000079707	44
MSV000079709	94
MSV000079710	109
MSV000079712	101
MSV000079714	110
MSV000079717	61
MSV000079718	67
MSV000079719	36
MSV000079720	113
MSV000079772	2
MSV000079773	20
MSV000079808	4
MSV000079813	105
MSV000079888	32
MSV000080015	23
MSV000080016	22
MSV000080142	22
MSV000080167	1
MSV000080176	50
MSV000080177	20
MSV000080178	8
MSV000080181	10
MSV000080182	6
MSV000080183	394
MSV000080188	12
MSV000080299	64
MSV000080335	1
MSV000080469	6
MSV000080507	109
MSV000080533	22
MSV000080540	6
MSV000080559	13
MSV000080562	32
MSV000080574	19
MSV000080616	8
MSV000080627	40
MSV000080628	135
MSV000080630	117
MSV000080905	393
MSV000080912	7
MSV000080960	6
MSV000080961	51
MSV000081064	2
MSV000081065	2
MSV000081067	26
MSV000081068	14
MSV000081077	1
MSV000081108	3
MSV000081151	162
MSV000081160	8
MSV000081176	5
MSV000081343	10
MSV000081351	7
MSV000081354	6
MSV000081357	12
MSV000081364	3
MSV000081463	7
MSV000081482	121
MSV000081492	4
MSV000081542	1
MSV000081544	2
MSV000081731	6
MSV000081853	20
MSV000081949	20
MSV000081952	65
MSV000082048	38
MSV000082049	5
MSV000082081	1
MSV000082082	224
MSV000082083	300
MSV000082084	23
MSV000082085	108
MSV000082086	50
MSV000082157	40
MSV000082261	4
MSV000082262	12
MSV000082312	123
MSV000082331	16
MSV000082377	5
MSV000082379	30
MSV000082380	40
MSV000082382	22
MSV000082383	45
MSV000082385	4
MSV000082402	30
MSV000082428	1
MSV000082433	429
MSV000082463	13
MSV000082480	13
MSV000082582	19
MSV000082602	1
MSV000082608	11
MSV000082629	4
MSV000082630	4
MSV000082633	45
MSV000082647	53
MSV000082650	1
MSV000082662	7
MSV000082695	1
MSV000082706	1
MSV000082708	1
MSV000082714	1
MSV000082739	4
MSV000082744	1
MSV000082813	15
MSV000082869	21
MSV000082952	25
MSV000082953	236
MSV000082972	15
MSV000082973	3
MSV000082999	9
MSV000083010	2
MSV000083073	1
MSV000083077	121
MSV000083083	4
MSV000083094	1
MSV000083098	13
MSV000083134	19
MSV000083183	15
MSV000083264	14
MSV000083300	242
MSV000083320	316
MSV000083365	1
MSV000083383	39
MSV000083388	1
MSV000083431	3
MSV000083449	3
MSV000083462	428
MSV000083475	108
MSV000083482	1
MSV000083483	4
MSV000083521	18
MSV000083522	41
MSV000083523	28
MSV000083541	21
MSV000083559	584
MSV000083631	1
MSV000083647	4
MSV000083729	1
MSV000083772	83
MSV000083789	5
MSV000083791	4
MSV000083835	15
MSV000083888	8
MSV000083889	174
MSV000084045	6
MSV000084062	4
MSV000084107	6
MSV000084112	4
MSV000084116	42
MSV000084117	1
MSV000084119	3
MSV000084132	1
MSV000084143	2
MSV000084152	24
MSV000084158	10
MSV000084165	2
MSV000084190	1
MSV000084278	1
MSV000084312	8
MSV000084314	25
MSV000084556	2
MSV000084595	2
MSV000084674	17
MSV000084738	6
MSV000084741	1
MSV000084744	9
MSV000084900	2
MSV000085000	1
MSV000085025	20
MSV000085031	2
MSV000085129	6
MSV000085326	25
MSV000085467	115
MSV000085480	370
MSV000085555	18
MSV000085608	10
MSV000085778	2
MSV000085779	2
MSV000085786	59
MSV000085843	11
MSV000085844	3
MSV000085852	330
MSV000085864	1
MSV000085879	2
MSV000085891	10
MSV000085917	43
MSV000085920	1
MSV000085922	1
MSV000085925	1
MSV000085944	211
MSV000086209	1
MSV000086236	95
MSV000086251	46
MSV000086252	1
MSV000086270	22
MSV000086312	14
MSV000086360	8
MSV000086415	502
MSV000086483	1
MSV000086621	10
MSV000086639	1
MSV000086676	35
MSV000086821	9
MSV000086830	49
MSV000086884	1
MSV000086926	68
MSV000087005	2
MSV000087006	90
MSV000087087	81
MSV000087093	2
MSV000087130	21
MSV000087135	1
MSV000087141	1
MSV000087322	12
MSV000087359	1
MSV000087368	2
MSV000087449	2
MSV000087612	74
MSV000087630	1
MSV000087650	1
MSV000087685	4
MSV000087728	9
MSV000087747	5
MSV000087844	2
MSV000087854	32
MSV000087904	27
MSV000087905	2
MSV000087948	10
MSV000087995	6
MSV000088021	387
MSV000088040	3
MSV000088137	124
MSV000088164	12
MSV000088226	3
MSV000088324	1
MSV000088534	3
MSV000088546	3
MSV000088640	3
MSV000088645	19
MSV000088646	6
MSV000088690	1
MSV000088821	38
MSV000088823	30
MSV000088827	9
MSV000088842	150
MSV000088843	1
MSV000089061	4
MSV000089249	1
MSV000089313	32
MSV000089459	1
MSV000089540	1
MSV000089552	4
MSV000089558	1
MSV000089937	2
MSV000090012	1
