file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G73643_2x_RE3_01_19165	-0.0	mzspec:MSV000084900:G73643_2x_RE3_01_19165:scan:185	1	0.86	5	MSV000084900	NoID	MSV000084900	G73643_2x_RE3_01_19165.mzXML	pinto bean
mzspec:MSV000084900:G72814_10x_BH4_01_17932	0.0	mzspec:MSV000084900:G72814_10x_BH4_01_17932:scan:378	1	0.84	5	MSV000084900	NoID	MSV000084900	G72814_10x_BH4_01_17932.mzXML	complex
mzspec:MSV000084900:G73522_1x_RF6_01_18571	0.0	mzspec:MSV000084900:G73522_1x_RF6_01_18571:scan:303	1	0.84	5	MSV000084900	NoID	MSV000084900	G73522_1x_RF6_01_18571.mzXML	kombucha
mzspec:MSV000084900:G86972_1x_RG11_01_26464	-0.0	mzspec:MSV000084900:G86972_1x_RG11_01_26464:scan:381	1	0.83	5	MSV000084900	NoID	MSV000084900	G86972_1x_RG11_01_26464.mzXML	plant
mzspec:MSV000084900:G96496_1x_RF4_01_31109	0.0	mzspec:MSV000084900:G96496_1x_RF4_01_31109:scan:345	1	0.83	5	MSV000084900	NoID	MSV000084900	G96496_1x_RF4_01_31109.mzXML	White tea
mzspec:MSV000084900:G96657_1x_BG6_01_31218	-0.0	mzspec:MSV000084900:G96657_1x_BG6_01_31218:scan:351	1	0.83	5	MSV000084900	NoID	MSV000084900	G96657_1x_BG6_01_31218.mzXML	Oolong tea
mzspec:MSV000084900:G72750_10x_BC4_01_17813	-0.0	mzspec:MSV000084900:G72750_10x_BC4_01_17813:scan:374	1	0.83	5	MSV000084900	NoID	MSV000084900	G72750_10x_BC4_01_17813.mzXML	rose
mzspec:MSV000084900:G79511_1x_RE8_01_20325	-0.0	mzspec:MSV000084900:G79511_1x_RE8_01_20325:scan:377	1	0.82	6	MSV000084900	NoID	MSV000084900	G79511_1x_RE8_01_20325.mzXML	apricot
mzspec:MSV000084900:CW_90.S_R3.T6_BF9_01_13154	-0.0	mzspec:MSV000084900:CW_90.S_R3.T6_BF9_01_13154:scan:370	1	0.82	5	MSV000084900	NoID	MSV000084900	CW_90.S_R3.T6_BF9_01_13154.mzXML	apple_cider
mzspec:MSV000084900:G96690_1x_RG6_01_31123	0.0	mzspec:MSV000084900:G96690_1x_RG6_01_31123:scan:347	1	0.82	5	MSV000084900	NoID	MSV000084900	G96690_1x_RG6_01_31123.mzXML	Black tea
mzspec:MSV000084900:G75649_RH10_01_17787	0.0	mzspec:MSV000084900:G75649_RH10_01_17787:scan:190	1	0.82	5	MSV000084900	NoID	MSV000084900	G75649_RH10_01_17787.mzXML	cranberry bean
