Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000088732:5ugmL_Opti_isolation_4_3:scan:4538	0.91	5	NoID
0.0	mzspec:MSV000088732:5ugmL_Opti_isolation_3_1:scan:4343	0.91	5	NoID
0.0	mzspec:MSV000088732:5ugmL_Opti_isolation_4_1:scan:4414	0.9	5	NoID
0.0	mzspec:MSV000088732:5ugmL_Opti_isolation_3_3:scan:4794	0.88	5	NoID
0.0	mzspec:MSV000079697:group4_P2_C11:scan:1825	0.88	5	NoID
0.0	mzspec:MSV000079714:group4_P2_C11:scan:1825	0.88	5	NoID
0.0	mzspec:MSV000088420:2021_0115_4x_240min:scan:4294967295	0.87	5	NoID
-0.0	mzspec:MSV000082083:Mo_2017_DOM_38:scan:2436	0.87	5	NoID
0.0	mzspec:MSV000082083:Mo_2017_DOM_2:scan:2444	0.84	5	NoID
0.0	mzspec:MSV000088021:KB_2020_07:scan:2395	0.77	5	NoID
