Dataset	Frequency
MSV000078667	4
MSV000078668	1
MSV000078670	4
MSV000078891	25
MSV000078917	1
MSV000079015	4
MSV000079034	52
MSV000079069	65
MSV000079329	36
MSV000079516	8
MSV000079518	1
MSV000079519	5
MSV000079520	3
MSV000079598	96
MSV000079697	685
MSV000079706	67
MSV000079707	54
MSV000079709	61
MSV000079710	117
MSV000079712	66
MSV000079714	81
MSV000079717	92
MSV000079718	68
MSV000079719	31
MSV000079720	42
MSV000079772	14
MSV000079773	23
MSV000079808	8
MSV000079813	89
MSV000079819	18
MSV000079888	21
MSV000079900	5
MSV000080015	32
MSV000080016	11
MSV000080142	126
MSV000080167	91
MSV000080176	44
MSV000080177	16
MSV000080178	23
MSV000080179	3
MSV000080181	47
MSV000080182	30
MSV000080183	2
MSV000080187	3
MSV000080188	1
MSV000080335	24
MSV000080469	22
MSV000080492	3
MSV000080501	1
MSV000080507	132
MSV000080533	20
MSV000080540	8
MSV000080559	25
MSV000080562	31
MSV000080574	11
MSV000080604	4
MSV000080616	7
MSV000080627	59
MSV000080628	59
MSV000080630	104
MSV000080655	5
MSV000080673	29
MSV000080898	9
MSV000080899	18
MSV000080905	283
MSV000080912	6
MSV000080961	45
MSV000081005	1
MSV000081064	4
MSV000081065	25
MSV000081067	57
MSV000081068	14
MSV000081077	1
MSV000081099	2
MSV000081108	4
MSV000081116	16
MSV000081118	1
MSV000081151	132
MSV000081160	101
MSV000081176	8
MSV000081318	7
MSV000081343	143
MSV000081347	9
MSV000081350	8
MSV000081351	359
MSV000081354	28
MSV000081357	30
MSV000081364	82
MSV000081456	5
MSV000081463	31
MSV000081470	11
MSV000081482	1
MSV000081492	7
MSV000081544	3
MSV000081548	4
MSV000081582	4
MSV000081659	3
MSV000081665	9
MSV000081673	2
MSV000081675	3
MSV000081676	10
MSV000081681	5
MSV000081682	10
MSV000081731	41
MSV000081750	2
MSV000081804	12
MSV000081808	7
MSV000081853	7
MSV000081936	9
MSV000081949	23
MSV000081952	115
MSV000081960	1
MSV000081981	19
MSV000082048	495
MSV000082049	818
MSV000082074	37
MSV000082081	1
MSV000082082	197
MSV000082083	319
MSV000082084	42
MSV000082085	132
MSV000082086	50
MSV000082131	1
MSV000082157	376
MSV000082261	19
MSV000082262	1
MSV000082277	2
MSV000082312	105
MSV000082331	22
MSV000082377	8
MSV000082378	1
MSV000082379	21
MSV000082380	30
MSV000082382	29
MSV000082383	17
MSV000082384	3
MSV000082385	4
MSV000082402	21
MSV000082428	1
MSV000082433	341
MSV000082463	13
MSV000082480	3
MSV000082527	1
MSV000082535	1
MSV000082538	1
MSV000082546	1
MSV000082547	1
MSV000082548	1
MSV000082549	1
MSV000082552	1
MSV000082555	1
MSV000082582	144
MSV000082602	33
MSV000082608	63
MSV000082612	1
MSV000082614	2
MSV000082616	4
MSV000082618	1
MSV000082629	59
MSV000082630	131
MSV000082633	75
MSV000082647	82
MSV000082649	35
MSV000082650	4
MSV000082661	3
MSV000082662	12
MSV000082680	1
MSV000082685	3
MSV000082704	6
MSV000082712	1
MSV000082713	10
MSV000082717	3
MSV000082721	1
MSV000082722	1
MSV000082724	1
MSV000082726	1
MSV000082729	6
MSV000082733	1
MSV000082734	11
MSV000082735	2
MSV000082737	1
MSV000082738	4
MSV000082740	7
MSV000082741	3
MSV000082744	5
MSV000082778	3
MSV000082813	4
MSV000082869	631
MSV000082891	1
MSV000082952	24
MSV000082953	306
MSV000082972	4
MSV000082973	2
MSV000082999	6
MSV000083010	40
MSV000083024	3
MSV000083040	5
MSV000083073	41
MSV000083077	208
MSV000083083	8
MSV000083094	3
MSV000083098	29
MSV000083106	2
MSV000083134	21
MSV000083183	14
MSV000083264	14
MSV000083272	11
MSV000083274	12
MSV000083275	23
MSV000083297	1
MSV000083300	260
MSV000083306	41
MSV000083320	501
MSV000083365	35
MSV000083372	26
MSV000083377	1
MSV000083383	31
MSV000083387	8
MSV000083388	8
MSV000083395	2
MSV000083396	21
MSV000083449	2
MSV000083475	312
MSV000083482	1
MSV000083483	8
MSV000083521	23
MSV000083522	52
MSV000083523	26
MSV000083526	1
MSV000083538	1
MSV000083541	55
MSV000083543	1
MSV000083559	585
MSV000083612	12
MSV000083631	4
MSV000083632	1
MSV000083647	7
MSV000083651	10
MSV000083678	12
MSV000083705	144
MSV000083729	6
MSV000083756	32
MSV000083766	1
MSV000083772	101
MSV000083773	1
MSV000083789	45
MSV000083791	9
MSV000083798	46
MSV000083813	1
MSV000083814	1
MSV000083835	110
MSV000083875	2
MSV000083888	7
MSV000083889	195
MSV000084016	43
MSV000084020	15
MSV000084045	3
MSV000084060	9
MSV000084062	42
MSV000084092	29
MSV000084100	6
MSV000084101	2
MSV000084107	42
MSV000084112	19
MSV000084116	65
MSV000084117	1
MSV000084119	5
MSV000084132	2
MSV000084143	19
MSV000084152	24
MSV000084158	27
MSV000084165	3
MSV000084187	18
MSV000084218	3
MSV000084219	1
MSV000084278	3
MSV000084312	5
MSV000084314	132
MSV000084325	2
MSV000084460	2
MSV000084556	9
MSV000084576	8
MSV000084595	10
MSV000084628	2
MSV000084674	17
MSV000084734	7
MSV000084738	14
MSV000084741	196
MSV000084744	8
MSV000084753	22
MSV000084755	4
MSV000084783	3
MSV000084873	1
MSV000084884	13
MSV000084900	48
MSV000084951	2
MSV000085000	5
MSV000085024	1
MSV000085025	22
MSV000085031	2
MSV000085042	1
MSV000085071	1
MSV000085101	5
MSV000085129	108
MSV000085153	4
MSV000085179	1
MSV000085180	1
MSV000085226	3
MSV000085256	75
MSV000085261	13
MSV000085326	15
MSV000085389	184
MSV000085404	2
MSV000085443	2
MSV000085444	2
MSV000085467	132
MSV000085480	599
MSV000085555	29
MSV000085561	8
MSV000085578	2
MSV000085619	1
MSV000085669	1
MSV000085693	155
MSV000085713	31
MSV000085777	25
MSV000085778	5
MSV000085779	24
MSV000085786	61
MSV000085843	50
MSV000085844	52
MSV000085852	377
MSV000085858	2
MSV000085862	14
MSV000085864	36
MSV000085870	2
MSV000085871	5
MSV000085879	47
MSV000085882	12
MSV000085891	30
MSV000085917	9
MSV000085925	2
MSV000085944	302
MSV000085991	12
MSV000086002	2
MSV000086092	1
MSV000086107	1
MSV000086123	1
MSV000086131	93
MSV000086178	21
MSV000086206	2
MSV000086208	5
MSV000086209	64
MSV000086221	5
MSV000086236	72
MSV000086251	9
MSV000086270	1162
MSV000086293	1
MSV000086312	22
MSV000086314	29
MSV000086330	2
MSV000086360	11
MSV000086415	1107
MSV000086427	37
MSV000086483	1
MSV000086495	1
MSV000086621	7
MSV000086639	20
MSV000086666	18
MSV000086676	35
MSV000086760	16
MSV000086821	14
MSV000086830	77
MSV000086879	12
MSV000086882	37
MSV000086883	17
MSV000086884	1
MSV000086926	290
MSV000086956	21
MSV000086989	1
MSV000086993	3
MSV000087005	3
MSV000087006	469
MSV000087087	327
MSV000087093	2
MSV000087127	8
MSV000087130	349
MSV000087135	20
MSV000087141	57
MSV000087148	2
MSV000087167	9
MSV000087187	2
MSV000087322	15
MSV000087359	178
MSV000087364	21
MSV000087368	30
MSV000087449	82
MSV000087588	7
MSV000087612	195
MSV000087628	5
MSV000087629	5
MSV000087630	5
MSV000087646	3
MSV000087650	27
MSV000087685	121
MSV000087689	1
MSV000087692	17
MSV000087694	10
MSV000087702	21
MSV000087728	1588
MSV000087745	1
MSV000087747	17
MSV000087772	6
MSV000087800	12
MSV000087809	18
MSV000087844	20
MSV000087854	17
MSV000087872	9
MSV000087904	124
MSV000087905	76
MSV000087923	3
MSV000087935	12
MSV000087948	12
MSV000087951	13
MSV000087964	3
MSV000087991	6
MSV000087995	14
MSV000088008	4
MSV000088021	909
MSV000088040	441
MSV000088062	14
MSV000088087	138
MSV000088114	1
MSV000088137	442
MSV000088164	168
MSV000088324	69
MSV000088332	1
MSV000088420	1
MSV000088440	1
MSV000088476	1
MSV000088511	1
MSV000088519	5
MSV000088534	1
MSV000088535	4
MSV000088546	389
MSV000088570	277
MSV000088586	4
MSV000088594	178
MSV000088640	144
MSV000088645	1000
MSV000088646	916
MSV000088670	1
MSV000088690	5
MSV000088691	3
MSV000088697	2
MSV000088719	3
MSV000088732	100
MSV000088741	6
MSV000088770	3
MSV000088790	3
MSV000088821	251
MSV000088823	204
MSV000088827	39
MSV000088828	1
MSV000088829	3
MSV000088830	3
MSV000088842	222
MSV000088843	175
MSV000088872	3
MSV000089061	36
MSV000089070	2
MSV000089210	1
MSV000089249	25
MSV000089313	505
MSV000089459	35
MSV000089483	128
MSV000089518	32
MSV000089524	7
MSV000089534	2
MSV000089540	329
