file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G75867_1x_10ul_RG11_01_19906	-0.0	mzspec:MSV000084900:G75867_1x_10ul_RG11_01_19906:scan:1576	1	0.92	6	MSV000084900	NoID	MSV000084900	G75867_1x_10ul_RG11_01_19906.mzXML	plant
mzspec:MSV000084900:G000073462_170522183406	0.0	mzspec:MSV000084900:G000073462_170522183406:scan:2669	1	0.92	5	MSV000084900	NoID	MSV000084900	G000073462_170522183406.mzXML	complex
mzspec:MSV000084900:G000073460_170522180710	0.0	mzspec:MSV000084900:G000073460_170522180710:scan:2572	1	0.92	5	MSV000084900	NoID	MSV000084900	G000073460_170522180710.mzXML	plant
mzspec:MSV000084900:G95862_1x_RE3_01_32132	-0.0	mzspec:MSV000084900:G95862_1x_RE3_01_32132:scan:1549	1	0.89	5	MSV000084900	NoID	MSV000084900	G95862_1x_RE3_01_32132.mzXML	cherry tomato
mzspec:MSV000084900:G75797_5x_BB9_01_19268	-0.03	mzspec:MSV000084900:G75797_5x_BB9_01_19268:scan:1704	1	0.89	5	MSV000084900	NoID	MSV000084900	G75797_5x_BB9_01_19268.mzXML	worm, night crawler
mzspec:MSV000084900:G96467_RC7_01_31793	-0.0	mzspec:MSV000084900:G96467_RC7_01_31793:scan:1568	1	0.89	5	MSV000084900	NoID	MSV000084900	G96467_RC7_01_31793.mzXML	coffee
mzspec:MSV000084900:G83255_1x_BH7_01_23235	-0.0	mzspec:MSV000084900:G83255_1x_BH7_01_23235:scan:1556	1	0.89	5	MSV000084900	NoID	MSV000084900	G83255_1x_BH7_01_23235.mzXML	ham
mzspec:MSV000084900:G86759_1x_BC12_01_23159	-0.0	mzspec:MSV000084900:G86759_1x_BC12_01_23159:scan:1565	1	0.88	6	MSV000084900	NoID	MSV000084900	G86759_1x_BC12_01_23159.mzXML	sugarcane
mzspec:MSV000084900:G96302_20x_BG7_01_31986	-0.0	mzspec:MSV000084900:G96302_20x_BG7_01_31986:scan:1575	1	0.88	6	MSV000084900	NoID	MSV000084900	G96302_20x_BG7_01_31986.mzXML	coffee
mzspec:MSV000084900:15NAVY01_v1_lun_4_GD5_01_39629	0.0	mzspec:MSV000084900:15NAVY01_v1_lun_4_GD5_01_39629:scan:1613	1	0.88	6	MSV000084900	NoID	MSV000084900	15NAVY01_v1_lun_4_GD5_01_39629.mzXML	complex
mzspec:MSV000084900:G73684_5x_BD7_01_18304	0.01	mzspec:MSV000084900:G73684_5x_BD7_01_18304:scan:1590	1	0.88	5	MSV000084900	NoID	MSV000084900	G73684_5x_BD7_01_18304.mzXML	natural cheese
mzspec:MSV000084900:18NAVY30_v1_lun_8_BE9_01_39714	-0.0	mzspec:MSV000084900:18NAVY30_v1_lun_8_BE9_01_39714:scan:1588	1	0.88	5	MSV000084900	NoID	MSV000084900	18NAVY30_v1_lun_8_BE9_01_39714.mzXML	green grape
mzspec:MSV000084900:G86974_1x_BB4_01_26382	0.0	mzspec:MSV000084900:G86974_1x_BB4_01_26382:scan:1571	1	0.88	5	MSV000084900	NoID	MSV000084900	G86974_1x_BB4_01_26382.mzXML	plant
mzspec:MSV000084900:G96433_RE6_01_31828	-0.0	mzspec:MSV000084900:G96433_RE6_01_31828:scan:1577	1	0.88	5	MSV000084900	NoID	MSV000084900	G96433_RE6_01_31828.mzXML	coffee
mzspec:MSV000084900:G96192_RH7_01_31602	-0.0	mzspec:MSV000084900:G96192_RH7_01_31602:scan:1586	1	0.88	5	MSV000084900	NoID	MSV000084900	G96192_RH7_01_31602.mzXML	yogurt_cow
mzspec:MSV000084900:G72753_p1_h3_GD5_01_21939	0.0	mzspec:MSV000084900:G72753_p1_h3_GD5_01_21939:scan:1492	1	0.88	5	MSV000084900	NoID	MSV000084900	G72753_p1_h3_GD5_01_21939.mzXML	oregano
mzspec:MSV000084900:G96282_20x_BH2_01_31996	-0.0	mzspec:MSV000084900:G96282_20x_BH2_01_31996:scan:1547	1	0.88	5	MSV000084900	NoID	MSV000084900	G96282_20x_BH2_01_31996.mzXML	coffee
