Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000089313:14HM503:scan:2874	0.96	6	NoID
0.0	mzspec:MSV000089313:14HM299:scan:2928	0.96	5	NoID
0.0	mzspec:MSV000089313:Blank_Solvent_9:scan:2883	0.95	5	NoID
0.0	mzspec:MSV000089313:14HM515:scan:2887	0.94	5	NoID
0.0	mzspec:MSV000089313:14HM538:scan:2899	0.93	5	NoID
0.0	mzspec:MSV000089313:Blank_Solvent_2:scan:2861	0.93	5	NoID
0.0	mzspec:MSV000089313:Blank_Solvent_14:scan:2899	0.93	5	NoID
0.0	mzspec:MSV000089313:14HM509:scan:2888	0.93	5	NoID
0.0	mzspec:MSV000089313:14HM611:scan:2908	0.92	6	NoID
0.0	mzspec:MSV000089313:14HM403:scan:2923	0.92	5	NoID
0.0	mzspec:MSV000089313:14HM283:scan:2942	0.92	5	NoID
0.0	mzspec:MSV000089313:Blank_47_no_inj:scan:2943	0.92	5	NoID
0.0	mzspec:MSV000089313:Blank_53_no_inj:scan:2938	0.92	5	NoID
0.0	mzspec:MSV000089313:14HM612:scan:2924	0.92	5	NoID
0.0	mzspec:MSV000089313:14HM555:scan:2905	0.91	5	NoID
0.0	mzspec:MSV000089313:14HM505:scan:2895	0.91	5	NoID
0.0	mzspec:MSV000089313:14HM598:scan:2895	0.91	5	NoID
0.0	mzspec:MSV000089313:Blank_Solvent_13:scan:2920	0.91	5	NoID
0.0	mzspec:MSV000089313:Blank_Solvent_18:scan:2901	0.91	5	NoID
0.0	mzspec:MSV000089313:14HM545:scan:2883	0.89	5	NoID
0.0	mzspec:MSV000089313:14HM455:scan:2943	0.89	5	NoID
0.0	mzspec:MSV000089313:Blank_02_no_inj:scan:2893	0.83	5	NoID
0.0	mzspec:MSV000089313:14HM408:scan:2956	0.8	5	NoID
