Dataset	Frequency
MSV000079697	152
MSV000079706	9
MSV000079707	8
MSV000079709	32
MSV000079710	12
MSV000079712	2
MSV000079714	11
MSV000079717	31
MSV000079718	8
MSV000079719	2
MSV000079720	39
MSV000080442	1
MSV000080627	16
MSV000080905	18
MSV000081284	2
MSV000081357	7
MSV000082262	5
MSV000082331	4
MSV000082433	91
MSV000082490	1
MSV000082674	1
MSV000082953	108
MSV000083264	4
MSV000083300	1
MSV000083320	90
MSV000083462	17
MSV000083521	2
MSV000083541	3
MSV000083559	163
MSV000084314	14
MSV000084463	4
MSV000085119	1
MSV000085120	1
MSV000085944	37
MSV000086415	133
MSV000087087	20
MSV000087612	22
MSV000087702	1
MSV000087948	1
MSV000088137	130
MSV000088640	48
MSV000088823	1
MSV000088842	14
