Dataset	Frequency
MSV000078646	11
MSV000079329	16
MSV000079598	92
MSV000079697	420
MSV000079706	92
MSV000079707	44
MSV000079709	13
MSV000079710	58
MSV000079712	26
MSV000079714	71
MSV000079717	62
MSV000079718	28
MSV000079719	6
MSV000079720	18
MSV000079773	18
MSV000079808	2
MSV000079813	25
MSV000079819	12
MSV000079888	3
MSV000080015	33
MSV000080016	1
MSV000080142	475
MSV000080167	14
MSV000080176	50
MSV000080177	21
MSV000080178	8
MSV000080180	1
MSV000080181	9
MSV000080188	136
MSV000080299	255
MSV000080335	14
MSV000080469	22
MSV000080507	68
MSV000080533	3
MSV000080559	20
MSV000080562	17
MSV000080574	8
MSV000080604	2
MSV000080616	5
MSV000080627	46
MSV000080628	68
MSV000080629	21
MSV000080630	3
MSV000080905	344
MSV000080912	7
MSV000080961	13
MSV000081064	2
MSV000081065	21
MSV000081067	194
MSV000081068	5
MSV000081116	3
MSV000081118	1
MSV000081151	108
MSV000081176	13
MSV000081343	215
MSV000081351	78
MSV000081354	30
MSV000081364	18
MSV000081456	1
MSV000081463	3
MSV000081492	22
MSV000081544	4
MSV000081731	51
MSV000081804	12
MSV000081808	55
MSV000081949	18
MSV000081952	175
MSV000082048	2
MSV000082049	32
MSV000082081	1
MSV000082082	1
MSV000082083	183
MSV000082084	10
MSV000082085	68
MSV000082086	18
MSV000082157	4
MSV000082261	5
MSV000082312	19
MSV000082331	23
MSV000082380	4
MSV000082383	1
MSV000082428	1
MSV000082433	110
MSV000082463	1
MSV000082480	2
MSV000082582	86
MSV000082602	71
MSV000082608	3
MSV000082629	6
MSV000082630	395
MSV000082633	34
MSV000082647	93
MSV000082649	21
MSV000082662	2
MSV000082813	2
MSV000082869	62
MSV000082952	10
MSV000082953	240
MSV000082972	2
MSV000082973	71
MSV000082999	1
MSV000083073	3
MSV000083077	307
MSV000083083	1
MSV000083094	4
MSV000083098	37
MSV000083134	22
MSV000083183	2
MSV000083264	6
MSV000083274	12
MSV000083300	158
MSV000083306	252
MSV000083320	318
MSV000083365	37
MSV000083372	21
MSV000083383	77
MSV000083387	15
MSV000083395	3
MSV000083396	12
MSV000083449	1
MSV000083475	100
MSV000083482	30
MSV000083483	3
MSV000083521	12
MSV000083522	27
MSV000083523	5
MSV000083526	1
MSV000083538	1
MSV000083541	46
MSV000083559	436
MSV000083632	6
MSV000083647	1
MSV000083651	2
MSV000083660	5
MSV000083665	6
MSV000083678	2
MSV000083705	5
MSV000083756	69
MSV000083772	25
MSV000083791	2
MSV000083798	6
MSV000083835	67
MSV000083888	6
MSV000083889	109
MSV000084016	103
MSV000084020	4
MSV000084062	3
MSV000084092	2
MSV000084107	3
MSV000084112	7
MSV000084116	58
MSV000084117	1
MSV000084118	5
MSV000084119	26
MSV000084143	20
MSV000084152	13
MSV000084158	32
MSV000084278	4
MSV000084312	7
MSV000084314	115
MSV000084556	8
MSV000084628	3
MSV000084674	2
MSV000084738	18
MSV000084741	35
MSV000084744	9
MSV000084753	56
MSV000084783	12
MSV000084873	1
MSV000084884	6
MSV000084955	2
MSV000085024	3
MSV000085025	5
MSV000085107	1
MSV000085129	20
MSV000085142	1
MSV000085256	156
MSV000085326	1
MSV000085352	1
MSV000085389	26
MSV000085404	3
MSV000085417	4
MSV000085443	3
MSV000085444	3
MSV000085467	1
MSV000085480	112
MSV000085554	2
MSV000085555	19
MSV000085561	2
MSV000085777	9
MSV000085778	3
MSV000085779	34
MSV000085786	2
MSV000085843	28
MSV000085844	46
MSV000085852	14
MSV000085864	18
MSV000085882	1
MSV000085891	19
MSV000085925	1
MSV000085944	10
MSV000086002	2
MSV000086092	1
MSV000086124	1
MSV000086131	1
MSV000086178	1
MSV000086206	6
MSV000086208	5
MSV000086209	22
MSV000086221	5
MSV000086236	4
MSV000086270	9
MSV000086415	243
MSV000086666	3
MSV000086676	25
MSV000086821	9
MSV000086884	1
MSV000086926	89
MSV000086989	57
MSV000086993	1
MSV000087005	31
MSV000087006	110
MSV000087087	99
MSV000087093	3
MSV000087322	3
MSV000087359	1
MSV000087364	14
MSV000087368	18
MSV000087449	27
MSV000087523	1
MSV000087588	1
MSV000087612	150
MSV000087628	3
MSV000087629	3
MSV000087630	1
MSV000087646	4
MSV000087650	2
MSV000087685	1
MSV000087689	2
MSV000087692	1
MSV000087702	3
MSV000087728	17
MSV000087747	5
MSV000087854	72
MSV000087872	1
MSV000087882	1
MSV000087904	5
MSV000087905	1
MSV000087948	7
MSV000087951	5
MSV000087995	2
MSV000088021	475
MSV000088040	2
MSV000088087	84
MSV000088137	336
MSV000088164	53
MSV000088187	5
MSV000088255	2
MSV000088332	1
MSV000088335	6
MSV000088476	2
MSV000088511	2
MSV000088519	1
MSV000088546	295
MSV000088570	32
MSV000088586	2
MSV000088594	26
MSV000088640	112
MSV000088645	13
MSV000088646	433
MSV000088690	2
MSV000088691	1
MSV000088697	3
MSV000088719	1
MSV000088732	65
MSV000088821	90
MSV000088823	27
MSV000088842	45
MSV000088843	1
MSV000089061	16
MSV000089249	1
MSV000089313	21
MSV000089459	4
MSV000089518	1
MSV000089540	7
MSV000089558	45
MSV000089638	5
MSV000089834	23
MSV000090000	1
MSV000090002	2
