Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000084314:MSV000083559:scan:168214	0.95	16	NoID
0.0	mzspec:MSV000083559:11713.23.O.23G:scan:1794	0.95	16	NoID
0.0	mzspec:MSV000083559:11713.23.F.23D:scan:1800	0.95	16	NoID
-0.0	mzspec:MSV000083559:11713.22.F.22D:scan:1804	0.94	16	NoID
0.0	mzspec:MSV000083559:11713.17.O.17B:scan:1790	0.94	16	NoID
0.0	mzspec:MSV000083559:11713.23.S.23D:scan:1744	0.93	16	NoID
0.0	mzspec:MSV000083559:11713.13.S.13G:scan:1783	0.93	16	NoID
-0.0	mzspec:MSV000083559:11713.13.F.13A:scan:1820	0.93	16	NoID
0.0	mzspec:MSV000083559:11713.18.O.18G:scan:1770	0.92	16	NoID
0.0	mzspec:MSV000083559:11713.14.S.14B:scan:1772	0.91	15	NoID
0.0	mzspec:MSV000083300:BP000096845_p:scan:2110	0.9	15	NoID
0.0	mzspec:MSV000083559:11713.14.O.14E:scan:1783	0.88	15	NoID
0.0	mzspec:MSV000082629:18NAVY27_V2_20180209:scan:2398	0.83	13	NoID
0.02	mzspec:MSV000083559:11713.1.C.1D:scan:1770	0.81	14	NoID
0.01	mzspec:MSV000083559:11713.24.F.24B:scan:1779	0.79	13	NoID
0.01	mzspec:MSV000083559:11713.1.O.1H:scan:1785	0.78	13	NoID
0.0	mzspec:MSV000082629:16NAVY15_V2_20161202:scan:2338	0.78	11	NoID
0.0	mzspec:MSV000082953:blank_swab_mid_180919162931:scan:2716	0.77	13	NoID
0.0	mzspec:MSV000084314:MSV000082629:scan:38372	0.77	11	NoID
