Dataset	Frequency
MSV000078667	1
MSV000078668	1
MSV000078670	1
MSV000079181	26
MSV000079389	88
MSV000079472	1
MSV000079478	2
MSV000079523	123
MSV000079598	11
MSV000079697	586
MSV000079706	95
MSV000079707	50
MSV000079709	41
MSV000079710	68
MSV000079712	51
MSV000079714	80
MSV000079717	77
MSV000079718	60
MSV000079719	32
MSV000079720	35
MSV000079772	1
MSV000079773	19
MSV000079808	4
MSV000079813	7
MSV000079888	1
MSV000080015	16
MSV000080030	132
MSV000080031	4
MSV000080071	3
MSV000080142	222
MSV000080167	431
MSV000080176	11
MSV000080177	8
MSV000080178	6
MSV000080179	377
MSV000080181	3
MSV000080186	163
MSV000080187	214
MSV000080188	10
MSV000080299	60
MSV000080335	11
MSV000080443	2
MSV000080464	1
MSV000080469	2
MSV000080507	21
MSV000080574	6
MSV000080627	6
MSV000080628	17
MSV000080673	361
MSV000080905	245
MSV000081005	11
MSV000081067	1
MSV000081068	1
MSV000081160	1
MSV000081171	168
MSV000081343	9
MSV000081351	240
MSV000081354	6
MSV000081357	22
MSV000081379	3
MSV000081486	2
MSV000081492	7
MSV000081508	189
MSV000081544	3
MSV000081548	2
MSV000081555	1
MSV000081580	2
MSV000081581	1
MSV000081582	176
MSV000081676	9
MSV000081694	74
MSV000081804	3
MSV000081808	3
MSV000081816	46
MSV000081952	36
MSV000081981	339
MSV000082048	8
MSV000082049	11
MSV000082068	1
MSV000082072	1
MSV000082074	10
MSV000082081	1
MSV000082084	1
MSV000082085	20
MSV000082086	1
MSV000082128	1
MSV000082221	4
MSV000082261	7
MSV000082262	21
MSV000082374	7
MSV000082432	62
MSV000082433	16
MSV000082490	342
MSV000082493	194
MSV000082582	166
MSV000082602	32
MSV000082608	10
MSV000082629	27
MSV000082630	152
MSV000082647	51
MSV000082649	45
MSV000082650	1
MSV000082674	19
MSV000082678	13
MSV000082924	74
MSV000082953	224
MSV000082962	2
MSV000082967	1
MSV000083010	9
MSV000083024	8
MSV000083032	4
MSV000083040	1
MSV000083049	11
MSV000083065	9
MSV000083073	15
MSV000083077	104
MSV000083083	4
MSV000083094	2
MSV000083268	235
MSV000083320	1
MSV000083357	1
MSV000083365	2
MSV000083383	1
MSV000083462	277
MSV000083475	3
MSV000083541	94
MSV000083559	403
MSV000083593	2
MSV000083647	4
MSV000083660	11
MSV000083664	19
MSV000083665	3
MSV000083678	1
MSV000083757	75
MSV000083759	5
MSV000083791	4
MSV000083889	3
MSV000084010	18
MSV000084020	2
MSV000084095	163
MSV000084112	10
MSV000084116	23
MSV000084218	3
MSV000084219	5
MSV000084314	62
MSV000084322	17
MSV000084325	1
MSV000084460	1
MSV000084463	6
MSV000084590	4
MSV000084610	28
MSV000084734	1
MSV000084741	145
MSV000084755	6
MSV000084775	2
MSV000084900	10
MSV000084907	3
MSV000084908	1
MSV000085024	1
MSV000085142	1
MSV000085261	24
MSV000085582	1
MSV000085608	3
MSV000085713	36
MSV000086027	20
MSV000086158	1
MSV000086246	10
MSV000086270	10
MSV000086330	1
MSV000086415	3
MSV000086482	6
MSV000086879	1
MSV000086882	20
MSV000086883	3
MSV000086926	311
MSV000086989	33
MSV000087006	444
MSV000087087	20
MSV000087322	1
MSV000087368	2
MSV000087449	5
MSV000087588	1
MSV000087612	31
MSV000087904	1
MSV000087991	1
MSV000087995	16
MSV000088021	1
MSV000088087	12
MSV000088137	38
MSV000088335	3
MSV000088337	26
MSV000088420	2
MSV000088440	1
MSV000088546	16
MSV000088570	1
MSV000088594	3
MSV000088640	13
MSV000088645	3
MSV000088646	57
MSV000088823	18
MSV000089061	3
MSV000089210	1
MSV000089313	1
MSV000089725	7
MSV000089808	7
MSV000089900	7
