Dataset	Frequency
MSV000079274	3
MSV000079389	16
MSV000079421	18
MSV000079485	61
MSV000079558	1
MSV000079697	768
MSV000079706	101
MSV000079707	54
MSV000079709	84
MSV000079710	90
MSV000079712	59
MSV000079714	80
MSV000079717	85
MSV000079718	60
MSV000079719	28
MSV000079720	131
MSV000079772	1
MSV000079949	17
MSV000080030	7
MSV000080031	1
MSV000080182	1
MSV000080442	1
MSV000080443	2
MSV000080627	37
MSV000080629	6
MSV000080905	33
MSV000081171	2
MSV000081284	2
MSV000081343	1
MSV000081357	26
MSV000081379	7
MSV000081463	11
MSV000081548	240
MSV000081694	2
MSV000081748	1
MSV000081752	2
MSV000082074	3
MSV000082262	23
MSV000082331	22
MSV000082354	15
MSV000082406	5
MSV000082433	247
MSV000082490	10
MSV000082582	3
MSV000082629	74
MSV000082674	3
MSV000082953	280
MSV000083010	3
MSV000083024	206
MSV000083073	2
MSV000083300	245
MSV000083302	1
MSV000083320	525
MSV000083437	3
MSV000083462	413
MSV000083475	81
MSV000083541	60
MSV000083559	463
MSV000083759	84
MSV000083835	2
MSV000083889	10
MSV000084010	142
MSV000084218	99
MSV000084219	108
MSV000084314	45
MSV000084734	1
MSV000084753	1
MSV000084783	1
MSV000084900	3
MSV000085120	4
MSV000085480	4
MSV000085608	9
MSV000085920	1
MSV000085944	293
MSV000086158	20
MSV000086178	2
MSV000086209	52
MSV000086246	17
MSV000086252	1
MSV000086926	12
MSV000087006	23
MSV000087685	5
MSV000087728	1
MSV000088842	219
