file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:VA2_2x_RB2_01_21610	0.0	mzspec:MSV000084900:VA2_2x_RB2_01_21610:scan:1564	1	0.94	11	MSV000084900	NoID	MSV000084900	VA2_2x_RB2_01_21610.mzXML	white rice
mzspec:MSV000084900:G73943_p2_f12_GB3_01_21634	-0.0	mzspec:MSV000084900:G73943_p2_f12_GB3_01_21634:scan:1605	1	0.93	11	MSV000084900	NoID	MSV000084900	G73943_p2_f12_GB3_01_21634.mzXML	tarragon
mzspec:MSV000084900:G000073460_170522180710	0.0	mzspec:MSV000084900:G000073460_170522180710:scan:2637	1	0.93	11	MSV000084900	NoID	MSV000084900	G000073460_170522180710.mzXML	plant
mzspec:MSV000084900:74125_1x_12ul_rerun_BA2_01_21387	-0.0	mzspec:MSV000084900:74125_1x_12ul_rerun_BA2_01_21387:scan:1646	1	0.93	10	MSV000084900	NoID	MSV000084900	74125_1x_12ul_rerun_BA2_01_21387.mzXML	kombucha
mzspec:MSV000084900:VA1_2x_RB1_01_21609	0.0	mzspec:MSV000084900:VA1_2x_RB1_01_21609:scan:1602	1	0.92	11	MSV000084900	NoID	MSV000084900	VA1_2x_RB1_01_21609.mzXML	complex
mzspec:MSV000084900:G83228_1x_RB4_01_21740	0.0	mzspec:MSV000084900:G83228_1x_RB4_01_21740:scan:1617	1	0.92	11	MSV000084900	NoID	MSV000084900	G83228_1x_RB4_01_21740.mzXML	complex
mzspec:MSV000084900:G86780_10x_RG5_01_23216	-0.0	mzspec:MSV000084900:G86780_10x_RG5_01_23216:scan:1610	1	0.91	11	MSV000084900	NoID	MSV000084900	G86780_10x_RG5_01_23216.mzXML	kava root
mzspec:MSV000084900:G83332_1x_RC3_01_21753	0.0	mzspec:MSV000084900:G83332_1x_RC3_01_21753:scan:1576	1	0.91	11	MSV000084900	NoID	MSV000084900	G83332_1x_RC3_01_21753.mzXML	complex
mzspec:MSV000084900:G83231_1x_RA5_01_21727	-0.0	mzspec:MSV000084900:G83231_1x_RA5_01_21727:scan:1555	1	0.91	10	MSV000084900	NoID	MSV000084900	G83231_1x_RA5_01_21727.mzXML	complex
mzspec:MSV000084900:G83351_1x_BA10_01_21543	-0.0	mzspec:MSV000084900:G83351_1x_BA10_01_21543:scan:1610	1	0.91	10	MSV000084900	NoID	MSV000084900	G83351_1x_BA10_01_21543.mzXML	complex
mzspec:MSV000084900:G96590_1x_RA4_01_31046	0.0	mzspec:MSV000084900:G96590_1x_RA4_01_31046:scan:1561	1	0.91	10	MSV000084900	NoID	MSV000084900	G96590_1x_RA4_01_31046.mzXML	Green tea
mzspec:MSV000084900:Amazon_2_2x_RA2_01_21597	0.0	mzspec:MSV000084900:Amazon_2_2x_RA2_01_21597:scan:1577	1	0.91	10	MSV000084900	NoID	MSV000084900	Amazon_2_2x_RA2_01_21597.mzXML	complex
mzspec:MSV000084900:G86706_1x_RA10_01_21728	-0.0	mzspec:MSV000084900:G86706_1x_RA10_01_21728:scan:1556	1	0.91	10	MSV000084900	NoID	MSV000084900	G86706_1x_RA10_01_21728.mzXML	complex
mzspec:MSV000084900:G74067_1x_15ul_RB9_01_20708	-0.0	mzspec:MSV000084900:G74067_1x_15ul_RB9_01_20708:scan:1628	1	0.91	10	MSV000084900	NoID	MSV000084900	G74067_1x_15ul_RB9_01_20708.mzXML	filtered water
mzspec:MSV000084900:G86708_1x_RB10_01_21747	0.0	mzspec:MSV000084900:G86708_1x_RB10_01_21747:scan:1631	1	0.91	10	MSV000084900	NoID	MSV000084900	G86708_1x_RB10_01_21747.mzXML	complex
mzspec:MSV000084900:Amazon_10_2x_RA10_01_21606	0.0	mzspec:MSV000084900:Amazon_10_2x_RA10_01_21606:scan:1599	1	0.91	10	MSV000084900	NoID	MSV000084900	Amazon_10_2x_RA10_01_21606.mzXML	tupiro
mzspec:MSV000084900:G96187_RG3_01_31575	-0.0	mzspec:MSV000084900:G96187_RG3_01_31575:scan:1641	1	0.9	11	MSV000084900	NoID	MSV000084900	G96187_RG3_01_31575.mzXML	yogurt_cow
mzspec:MSV000084900:73492_1x_BF3_01_21384	0.0	mzspec:MSV000084900:73492_1x_BF3_01_21384:scan:1642	1	0.9	11	MSV000084900	NoID	MSV000084900	73492_1x_BF3_01_21384.mzXML	kombucha
mzspec:MSV000084900:G83208_5x_5ul_RB8_01_21527	-0.0	mzspec:MSV000084900:G83208_5x_5ul_RB8_01_21527:scan:1634	1	0.9	11	MSV000084900	NoID	MSV000084900	G83208_5x_5ul_RB8_01_21527.mzXML	green lentil
mzspec:MSV000084900:G83340_1x_RD3_01_21766	0.0	mzspec:MSV000084900:G83340_1x_RD3_01_21766:scan:1648	1	0.9	11	MSV000084900	NoID	MSV000084900	G83340_1x_RD3_01_21766.mzXML	complex
mzspec:MSV000084900:G83362_1x_BD11_01_21890	0.0	mzspec:MSV000084900:G83362_1x_BD11_01_21890:scan:1532	1	0.9	11	MSV000084900	NoID	MSV000084900	G83362_1x_BD11_01_21890.mzXML	complex
mzspec:MSV000084900:G83338_1x_RF2_01_21716	-0.0	mzspec:MSV000084900:G83338_1x_RF2_01_21716:scan:1650	1	0.9	11	MSV000084900	NoID	MSV000084900	G83338_1x_RF2_01_21716.mzXML	complex
mzspec:MSV000084900:G83389_1x_RB8_01_21745	0.0	mzspec:MSV000084900:G83389_1x_RB8_01_21745:scan:1603	1	0.9	11	MSV000084900	NoID	MSV000084900	G83389_1x_RB8_01_21745.mzXML	complex
mzspec:MSV000084900:G83453_1x_RB9_01_21746	0.0	mzspec:MSV000084900:G83453_1x_RB9_01_21746:scan:1606	1	0.9	10	MSV000084900	NoID	MSV000084900	G83453_1x_RB9_01_21746.mzXML	complex
mzspec:MSV000084900:G96098_RF10_01_31569	0.0	mzspec:MSV000084900:G96098_RF10_01_31569:scan:1638	1	0.9	10	MSV000084900	NoID	MSV000084900	G96098_RF10_01_31569.mzXML	yogurt_cow
mzspec:MSV000084900:cw71.R1.skin_G86763_5x_witt_RB12_01_21687	0.0	mzspec:MSV000084900:cw71.R1.skin_G86763_5x_witt_RB12_01_21687:scan:1530	1	0.9	10	MSV000084900	NoID	MSV000084900	cw71.R1.skin_G86763_5x_witt_RB12_01_21687.mzXML	apple
mzspec:MSV000084900:G83232_1x_RD5_01_21768	0.0	mzspec:MSV000084900:G83232_1x_RD5_01_21768:scan:1567	1	0.9	10	MSV000084900	NoID	MSV000084900	G83232_1x_RD5_01_21768.mzXML	complex
