file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:73997_1x_BB2_01_17398	-0.0	mzspec:MSV000084900:73997_1x_BB2_01_17398:scan:1535	1	0.8	7	MSV000084900	NoID	MSV000084900	73997_1x_BB2_01_17398.mzXML	chantrelle mushroom
mzspec:MSV000084900:G78986_RB2_01_17537	-0.0	mzspec:MSV000084900:G78986_RB2_01_17537:scan:1729	1	0.78	7	MSV000084900	NoID	MSV000084900	G78986_RB2_01_17537.mzXML	garbanzo bean
mzspec:MSV000084900:74058_1x_BF2_01_21383	0.0	mzspec:MSV000084900:74058_1x_BF2_01_21383:scan:1522	1	0.77	6	MSV000084900	NoID	MSV000084900	74058_1x_BF2_01_21383.mzXML	plant
mzspec:MSV000084900:G73939_5x_RA2_01_19459	-0.0	mzspec:MSV000084900:G73939_5x_RA2_01_19459:scan:1509	1	0.74	5	MSV000084900	NoID	MSV000084900	G73939_5x_RA2_01_19459.mzXML	carrot
mzspec:MSV000084900:G83405_1x_RG7_01_21846	0.0	mzspec:MSV000084900:G83405_1x_RG7_01_21846:scan:1405	1	0.73	5	MSV000084900	NoID	MSV000084900	G83405_1x_RG7_01_21846.mzXML	complex
mzspec:MSV000084900:G75689_1x_RA6_01_18790	-0.04	mzspec:MSV000084900:G75689_1x_RA6_01_18790:scan:1706	1	0.72	6	MSV000084900	NoID	MSV000084900	G75689_1x_RA6_01_18790.mzXML	corn
mzspec:MSV000084900:G73680_5x_BD3_01_18300	0.01	mzspec:MSV000084900:G73680_5x_BD3_01_18300:scan:1363	1	0.71	6	MSV000084900	NoID	MSV000084900	G73680_5x_BD3_01_18300.mzXML	blue cheese
mzspec:MSV000084900:Silage_5_GB5_01_49135	-0.0	mzspec:MSV000084900:Silage_5_GB5_01_49135:scan:1173	1	0.71	6	MSV000084900	NoID	MSV000084900	Silage_5_GB5_01_49135.mzXML	corn husk
mzspec:MSV000084900:G79675_5x_10ul_RG2_01_19551	-0.0	mzspec:MSV000084900:G79675_5x_10ul_RG2_01_19551:scan:1527	1	0.71	5	MSV000084900	NoID	MSV000084900	G79675_5x_10ul_RG2_01_19551.mzXML	cabbage
mzspec:MSV000084900:VA3_2x_RB3_01_21611	-0.04	mzspec:MSV000084900:VA3_2x_RB3_01_21611:scan:1714	1	0.71	5	MSV000084900	NoID	MSV000084900	VA3_2x_RB3_01_21611.mzXML	plant
mzspec:MSV000084900:G79704_5x_10ul_RH12_01_19580	-0.0	mzspec:MSV000084900:G79704_5x_10ul_RH12_01_19580:scan:1522	1	0.71	5	MSV000084900	NoID	MSV000084900	G79704_5x_10ul_RH12_01_19580.mzXML	cabbage
mzspec:MSV000084900:78821_1x_BE6_01_17446	0.0	mzspec:MSV000084900:78821_1x_BE6_01_17446:scan:1265	1	0.71	5	MSV000084900	NoID	MSV000084900	78821_1x_BE6_01_17446.mzXML	green olive
mzspec:MSV000084900:G83206_5x_rerun_RE8_01_21495	0.0	mzspec:MSV000084900:G83206_5x_rerun_RE8_01_21495:scan:1384	1	0.71	5	MSV000084900	NoID	MSV000084900	G83206_5x_rerun_RE8_01_21495.mzXML	arborio rice
mzspec:MSV000084900:G79678_5x_RD11_01_19514	0.0	mzspec:MSV000084900:G79678_5x_RD11_01_19514:scan:1437	1	0.7	6	MSV000084900	NoID	MSV000084900	G79678_5x_RD11_01_19514.mzXML	salami
mzspec:MSV000084900:G79676_5x_RD10_01_19513	0.0	mzspec:MSV000084900:G79676_5x_RD10_01_19513:scan:1440	1	0.7	6	MSV000084900	NoID	MSV000084900	G79676_5x_RD10_01_19513.mzXML	salami
