Dataset	Frequency
MSV000078917	1
MSV000079034	8
MSV000079069	11
MSV000079243	1
MSV000079502	1
MSV000079516	1
MSV000079517	1
MSV000079519	2
MSV000079520	1
MSV000079598	21
MSV000079697	178
MSV000079706	28
MSV000079707	23
MSV000079709	23
MSV000079710	25
MSV000079712	4
MSV000079714	6
MSV000079717	13
MSV000079718	5
MSV000079719	18
MSV000079720	33
MSV000079772	1
MSV000079773	10
MSV000079778	2
MSV000079788	1
MSV000079813	3
MSV000079819	1
MSV000079888	10
MSV000080015	10
MSV000080176	13
MSV000080177	5
MSV000080178	7
MSV000080450	2
MSV000080469	4
MSV000080507	1
MSV000080559	1
MSV000080905	2
MSV000081116	3
MSV000081343	1
MSV000081351	5
MSV000081731	1
MSV000081853	1
MSV000082048	2
MSV000082082	9
MSV000082083	10
MSV000082085	1
MSV000082157	1
MSV000082312	9
MSV000082331	1
MSV000082433	1
MSV000082582	1
MSV000082608	14
MSV000082629	12
MSV000082647	2
MSV000082650	17
MSV000082681	1
MSV000082869	1
MSV000082891	2
MSV000082953	2
MSV000083073	14
MSV000083077	1
MSV000083083	99
MSV000083300	1
MSV000083306	23
MSV000083320	122
MSV000083365	8
MSV000083472	1
MSV000083475	21
MSV000083521	7
MSV000083522	3
MSV000083541	34
MSV000083631	2
MSV000083647	114
MSV000083660	1
MSV000083756	3
MSV000083772	25
MSV000083791	1
MSV000083835	16
MSV000083888	3
MSV000083889	22
MSV000084020	81
MSV000084116	1
MSV000084158	1
MSV000084325	1
MSV000084430	2
MSV000084587	2
MSV000084595	9
MSV000084741	68
MSV000084744	3
MSV000084755	7
MSV000085025	6
MSV000085119	5
MSV000085129	125
MSV000085467	2
MSV000085480	25
MSV000085555	11
MSV000085777	9
MSV000085779	20
MSV000085786	2
MSV000085843	6
MSV000085844	3
MSV000085852	5
MSV000085862	2
MSV000085891	4
MSV000085944	5
MSV000085991	2
MSV000086091	1
MSV000086120	1
MSV000086131	1
MSV000086178	1
MSV000086236	5
MSV000086644	9
MSV000086926	47
MSV000087006	66
MSV000087087	2
MSV000087322	5
MSV000087368	1
MSV000087588	6
MSV000087628	1
MSV000087646	3
MSV000087650	2
MSV000087692	11
MSV000087702	3
MSV000087728	7
MSV000087747	1
MSV000087935	3
MSV000087951	2
MSV000087995	15
MSV000087996	11
MSV000088021	41
MSV000088040	33
MSV000088062	4
MSV000088137	1
MSV000088164	13
MSV000088242	1
MSV000088519	2
MSV000088606	2
MSV000088697	3
MSV000088732	1
MSV000088823	67
MSV000088842	1
MSV000089061	12
MSV000089522	1
MSV000089552	1
MSV000089558	3
