Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000088137:2172:scan:1785	0.96	8	NoID
0.0	mzspec:MSV000088137:2128:scan:1776	0.93	8	NoID
0.0	mzspec:MSV000088137:mars00126:scan:1795	0.91	8	NoID
0.0	mzspec:MSV000087948:CMI_YB9_05ul:scan:1745	0.91	7	NoID
0.0	mzspec:MSV000088137:2140:scan:1759	0.9	8	NoID
0.0	mzspec:MSV000088137:2073:scan:1765	0.9	8	NoID
0.0	mzspec:MSV000086415:50101109:scan:1734	0.89	8	NoID
0.0	mzspec:MSV000088137:mars00042:scan:1795	0.88	8	NoID
0.0	mzspec:MSV000088137:2234:scan:1775	0.88	7	NoID
0.0	mzspec:MSV000088137:2208:scan:1789	0.87	8	NoID
0.0	mzspec:MSV000088137:2072:scan:1766	0.87	8	NoID
0.0	mzspec:MSV000086415:10222853:scan:1741	0.87	8	NoID
0.0	mzspec:MSV000088137:2143:scan:1764	0.87	7	NoID
0.0	mzspec:MSV000088137:2053:scan:1783	0.87	7	NoID
0.0	mzspec:MSV000088137:mars00016:scan:1786	0.86	8	NoID
0.0	mzspec:MSV000088137:mars00078:scan:1779	0.86	7	NoID
0.0	mzspec:MSV000084314:MSV000088137:scan:69155	0.86	7	NoID
0.0	mzspec:MSV000084314:MSV000087087:scan:65314	0.86	7	NoID
0.0	mzspec:MSV000088137:mars00091:scan:1763	0.85	8	NoID
0.0	mzspec:MSV000088137:2039:scan:1756	0.85	7	NoID
0.0	mzspec:MSV000087087:5556749:scan:1800	0.85	7	NoID
0.0	mzspec:MSV000088137:2194:scan:1793	0.85	7	NoID
-0.05	mzspec:MSV000086415:20906079:scan:1743	0.85	7	NoID
0.0	mzspec:MSV000088137:mars00095:scan:1767	0.85	7	NoID
-0.0	mzspec:MSV000086415:89164957:scan:1741	0.85	7	NoID
0.0	mzspec:MSV000087087:5556844:scan:1797	0.85	7	NoID
0.0	mzspec:MSV000088137:2012:scan:1778	0.84	7	NoID
0.0	mzspec:MSV000088137:2163:scan:1770	0.84	7	NoID
0.0	mzspec:MSV000088137:mars00060:scan:1778	0.84	7	NoID
0.0	mzspec:MSV000087087:5556883:scan:1801	0.84	7	NoID
0.0	mzspec:MSV000088137:2205:scan:1769	0.83	7	NoID
0.0	mzspec:MSV000088137:2144:scan:1773	0.83	7	NoID
0.0	mzspec:MSV000088137:mars00011:scan:1760	0.83	7	NoID
-0.0	mzspec:MSV000088137:2070:scan:1803	0.83	7	NoID
-0.0	mzspec:MSV000088137:mars00058:scan:1795	0.83	7	NoID
0.0	mzspec:MSV000088137:2170:scan:1756	0.83	7	NoID
0.0	mzspec:MSV000088137:2240:scan:1775	0.83	7	NoID
0.0	mzspec:MSV000088137:mars00010:scan:1609	0.83	6	NoID
0.0	mzspec:MSV000088137:2102:scan:1797	0.82	7	NoID
0.0	mzspec:MSV000088137:mars00134:scan:1791	0.82	7	NoID
0.0	mzspec:MSV000083300:BP000096952_p:scan:1924	0.82	7	NoID
0.0	mzspec:MSV000088137:2041:scan:1742	0.82	7	NoID
