Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000082433:M-635:scan:853	0.77	8	NoID
-0.0	mzspec:MSV000087087:5556652:scan:863	0.76	7	NoID
0.04	mzspec:MSV000088842:27B:scan:874	0.76	7	NoID
0.04	mzspec:MSV000084314:MSV000079697:scan:50297	0.76	6	NoID
0.04	mzspec:MSV000083559:11713.20.O.20C:scan:775	0.75	7	NoID
0.0	mzspec:MSV000083559:11713.22.O.22B:scan:666	0.75	7	NoID
0.0	mzspec:MSV000082433:M-588:scan:686	0.75	7	NoID
0.0	mzspec:MSV000082433:186:scan:846	0.74	7	NoID
0.04	mzspec:MSV000083559:11713.19.O.19G:scan:655	0.74	7	NoID
0.04	mzspec:MSV000088640:6034634:scan:923	0.73	7	NoID
-0.01	mzspec:MSV000082433:694:scan:877	0.73	7	NoID
0.03	mzspec:MSV000083559:11713.13.O.13E:scan:855	0.73	7	NoID
0.04	mzspec:MSV000083559:11713.25.O.25D:scan:669	0.72	7	NoID
0.04	mzspec:MSV000084314:MSV000079709:scan:2217	0.72	5	NoID
0.04	mzspec:MSV000083559:11713.2.C.2A:scan:655	0.71	7	NoID
0.0	mzspec:MSV000083559:11713.21.O.21E:scan:676	0.7	7	NoID
