Dataset	Frequency
MSV000078789	2
MSV000079034	137
MSV000079069	106
MSV000079329	22
MSV000079516	3
MSV000079519	3
MSV000079598	6
MSV000079697	693
MSV000079706	79
MSV000079707	47
MSV000079709	84
MSV000079710	91
MSV000079712	44
MSV000079714	55
MSV000079717	86
MSV000079718	60
MSV000079719	32
MSV000079720	123
MSV000079772	1
MSV000079773	1
MSV000079819	1
MSV000079888	1
MSV000080016	42
MSV000080142	14
MSV000080176	33
MSV000080177	3
MSV000080178	8
MSV000080182	1
MSV000080183	12
MSV000080299	1
MSV000080335	11
MSV000080469	2
MSV000080507	8
MSV000080559	1
MSV000080562	14
MSV000080628	1
MSV000080629	1
MSV000080905	27
MSV000081067	1
MSV000081116	4
MSV000081351	34
MSV000081463	99
MSV000081482	3
MSV000081555	1
MSV000081580	1
MSV000081949	7
MSV000081955	3
MSV000082048	92
MSV000082049	123
MSV000082082	4
MSV000082083	44
MSV000082085	9
MSV000082086	11
MSV000082157	47
MSV000082261	14
MSV000082331	22
MSV000082378	35
MSV000082382	34
MSV000082428	20
MSV000082433	258
MSV000082582	250
MSV000082602	1
MSV000082608	348
MSV000082612	7
MSV000082629	76
MSV000082630	34
MSV000082633	50
MSV000082647	14
MSV000082649	16
MSV000082650	242
MSV000082662	1
MSV000082719	1
MSV000082724	1
MSV000082726	2
MSV000082728	4
MSV000082739	1
MSV000082743	1
MSV000082869	13
MSV000082891	42
MSV000082944	2
MSV000082952	8
MSV000082953	194
MSV000083055	1
MSV000083073	365
MSV000083083	1069
MSV000083094	12
MSV000083098	1
MSV000083102	1
MSV000083106	10
MSV000083264	11
MSV000083274	1
MSV000083275	5
MSV000083297	1
MSV000083300	188
MSV000083306	121
MSV000083320	394
MSV000083365	8
MSV000083383	6
MSV000083388	6
MSV000083395	1
MSV000083396	21
MSV000083462	3
MSV000083472	3
MSV000083475	266
MSV000083521	7
MSV000083522	5
MSV000083541	84
MSV000083559	104
MSV000083631	1
MSV000083647	1157
MSV000083660	9
MSV000083665	1
MSV000083678	2
MSV000083729	1
MSV000083756	3
MSV000083772	37
MSV000083791	7
MSV000083825	5
MSV000083835	24
MSV000083889	14
MSV000084020	244
MSV000084030	2
MSV000084060	3
MSV000084112	14
MSV000084116	9
MSV000084158	10
MSV000084314	2
MSV000084556	22
MSV000084576	49
MSV000084595	5
MSV000084738	1
MSV000084741	15
MSV000084744	3
MSV000084904	18
MSV000084951	4
MSV000085000	2
MSV000085025	1
MSV000085129	56
MSV000085142	10
MSV000085256	35
MSV000085389	8
MSV000085480	166
MSV000085555	3
MSV000085777	3
MSV000085779	12
MSV000085786	8
MSV000085843	11
MSV000085844	14
MSV000085852	45
MSV000085891	6
MSV000085918	1
MSV000085919	1
MSV000085944	277
MSV000086107	4
MSV000086131	41
MSV000086208	4
MSV000086221	4
MSV000086236	11
MSV000086270	25
MSV000086293	3
MSV000086301	1
MSV000086302	1
MSV000086360	9
MSV000086415	125
MSV000086427	6
MSV000086644	9
MSV000086676	7
MSV000086830	2
MSV000086989	1
MSV000086993	3
MSV000087087	77
MSV000087135	2
MSV000087167	1
MSV000087335	1
MSV000087359	1
MSV000087368	8
MSV000087588	2
MSV000087612	8
MSV000087628	3
MSV000087629	2
MSV000087630	2
MSV000087646	24
MSV000087650	2
MSV000087685	15
MSV000087692	12
MSV000087694	47
MSV000087702	15
MSV000087711	2
MSV000087728	129
MSV000087745	1
MSV000087747	10
MSV000087772	1
MSV000087844	5
MSV000087854	1
MSV000087935	14
MSV000087948	4
MSV000087995	15
MSV000087996	12
MSV000088021	47
MSV000088040	2
MSV000088062	15
MSV000088087	9
MSV000088137	166
MSV000088164	2
MSV000088187	1
MSV000088242	43
MSV000088420	1
MSV000088519	1
MSV000088534	3
MSV000088546	2
MSV000088594	2
MSV000088606	3
MSV000088640	2
MSV000088645	4
MSV000088646	3
MSV000088697	15
MSV000088719	3
MSV000088732	97
MSV000088790	1
MSV000088821	30
MSV000088823	94
MSV000088829	1
MSV000088830	1
MSV000088842	214
MSV000088872	1
MSV000089061	6
MSV000089210	2
MSV000089552	4
MSV000089558	1
MSV000089638	2
