file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G75088_RE5_01_17588	-0.04	mzspec:MSV000084900:G75088_RE5_01_17588:scan:1850	1	0.83	7	MSV000084900	NoID	MSV000084900	G75088_RE5_01_17588.mzXML	pine nut
mzspec:MSV000084900:G79177_5x_rerun_RC4_01_19491	0.0	mzspec:MSV000084900:G79177_5x_rerun_RC4_01_19491:scan:907	1	0.76	7	MSV000084900	NoID	MSV000084900	G79177_5x_rerun_RC4_01_19491.mzXML	lentil
mzspec:MSV000084900:G96164_5x_RH8_01_32493	-0.04	mzspec:MSV000084900:G96164_5x_RH8_01_32493:scan:1840	1	0.75	6	MSV000084900	NoID	MSV000084900	G96164_5x_RH8_01_32493.mzXML	turkey
mzspec:MSV000084900:G75136_5x_rerun_14ul_RF5_01_19595	-0.04	mzspec:MSV000084900:G75136_5x_rerun_14ul_RF5_01_19595:scan:1718	1	0.74	6	MSV000084900	NoID	MSV000084900	G75136_5x_rerun_14ul_RF5_01_19595.mzXML	complex
mzspec:MSV000084900:G79588_5x_RF8_01_18151	-0.04	mzspec:MSV000084900:G79588_5x_RF8_01_18151:scan:1837	1	0.73	6	MSV000084900	NoID	MSV000084900	G79588_5x_RF8_01_18151.mzXML	herring, fins
mzspec:MSV000084900:G95967_BA12_01_31669	-0.04	mzspec:MSV000084900:G95967_BA12_01_31669:scan:1716	1	0.72	6	MSV000084900	NoID	MSV000084900	G95967_BA12_01_31669.mzXML	yogurt_cow
mzspec:MSV000084900:G96347_5x_RB6_01_32607	-0.04	mzspec:MSV000084900:G96347_5x_RB6_01_32607:scan:1549	1	0.72	6	MSV000084900	NoID	MSV000084900	G96347_5x_RB6_01_32607.mzXML	beef
mzspec:MSV000084900:G83215_5x_RE2_01_21469	-0.04	mzspec:MSV000084900:G83215_5x_RE2_01_21469:scan:1565	1	0.71	7	MSV000084900	NoID	MSV000084900	G83215_5x_RE2_01_21469.mzXML	fruit
mzspec:MSV000084900:G87368_rerun_BG3_01_26214	-0.04	mzspec:MSV000084900:G87368_rerun_BG3_01_26214:scan:1812	1	0.71	6	MSV000084900	NoID	MSV000084900	G87368_rerun_BG3_01_26214.mzXML	marchigiana lard
mzspec:MSV000084900:G96201_RG5_01_31578	-0.04	mzspec:MSV000084900:G96201_RG5_01_31578:scan:1829	1	0.71	6	MSV000084900	NoID	MSV000084900	G96201_RG5_01_31578.mzXML	yogurt_cow
mzspec:MSV000084900:G79324_5x_BF3_01_19329	-0.04	mzspec:MSV000084900:G79324_5x_BF3_01_19329:scan:1783	1	0.7	7	MSV000084900	NoID	MSV000084900	G79324_5x_BF3_01_19329.mzXML	trout, fins
mzspec:MSV000084900:G96165_5x_RB7_01_32343	-0.03	mzspec:MSV000084900:G96165_5x_RB7_01_32343:scan:1543	1	0.7	6	MSV000084900	NoID	MSV000084900	G96165_5x_RB7_01_32343.mzXML	turkey
mzspec:MSV000084900:G96382_5x_RC10_01_32639	-0.04	mzspec:MSV000084900:G96382_5x_RC10_01_32639:scan:1556	1	0.7	6	MSV000084900	NoID	MSV000084900	G96382_5x_RC10_01_32639.mzXML	beef
