Dataset	Frequency
MSV000079485	48
MSV000079697	753
MSV000079706	100
MSV000079707	54
MSV000079709	84
MSV000079710	90
MSV000079712	54
MSV000079714	78
MSV000079717	85
MSV000079718	57
MSV000079719	28
MSV000079720	130
MSV000080176	1
MSV000080627	37
MSV000080628	1
MSV000080629	9
MSV000080905	29
MSV000081463	11
MSV000081548	39
MSV000082331	22
MSV000082406	1
MSV000082433	250
MSV000082582	5
MSV000082608	1
MSV000082629	55
MSV000082953	276
MSV000083024	34
MSV000083073	5
MSV000083300	212
MSV000083320	515
MSV000083462	99
MSV000083475	73
MSV000083541	49
MSV000083559	446
MSV000083759	1
MSV000083889	9
MSV000084010	1
MSV000084218	18
MSV000084219	17
MSV000084314	23
MSV000084753	1
MSV000085608	4
MSV000085944	284
MSV000086178	1
MSV000086209	8
MSV000086926	2
MSV000087006	2
MSV000088137	1
MSV000088842	151
