Dataset	Frequency
MSV000078667	3
MSV000078670	3
MSV000078891	1
MSV000079516	3
MSV000079518	2
MSV000079519	2
MSV000079520	3
MSV000079697	184
MSV000079706	39
MSV000079707	11
MSV000079709	18
MSV000079710	35
MSV000079712	16
MSV000079714	7
MSV000079717	12
MSV000079718	8
MSV000079719	2
MSV000079720	17
MSV000080182	1
MSV000080188	6
MSV000080299	6
MSV000080627	4
MSV000080628	12
MSV000080629	9
MSV000080630	3
MSV000080905	136
MSV000081065	9
MSV000081067	1
MSV000081116	1
MSV000081151	2
MSV000081318	2
MSV000081351	38
MSV000082082	1
MSV000082083	1
MSV000082261	2
MSV000082312	51
MSV000082331	17
MSV000082378	5
MSV000082380	19
MSV000082382	21
MSV000082384	2
MSV000082433	81
MSV000082662	4
MSV000082685	3
MSV000082708	1
MSV000082710	1
MSV000082869	189
MSV000082952	27
MSV000082973	2
MSV000083134	20
MSV000083372	10
MSV000083521	6
MSV000083523	15
MSV000083541	2
MSV000083559	171
MSV000083729	1
MSV000083772	5
MSV000083835	16
MSV000084016	2
MSV000084112	2
MSV000084314	47
MSV000084595	1
MSV000084674	7
MSV000084738	2
MSV000084753	5
MSV000085025	5
MSV000085129	1
MSV000085480	32
MSV000085944	16
MSV000086270	1
MSV000086360	3
MSV000087612	72
MSV000087628	1
MSV000087629	1
MSV000087630	2
MSV000087800	12
MSV000088021	8
MSV000088087	5
MSV000088137	45
MSV000088164	2
MSV000088821	7
MSV000089061	2
MSV000089540	20
MSV000089552	3
MSV000089834	5
