Dataset	Frequency
MSV000079329	5
MSV000079598	34
MSV000079697	164
MSV000079706	52
MSV000079707	2
MSV000079709	1
MSV000079710	13
MSV000079712	11
MSV000079714	43
MSV000079717	19
MSV000079718	14
MSV000079720	10
MSV000079773	17
MSV000080015	8
MSV000080176	30
MSV000080177	1
MSV000080178	1
MSV000080188	2
MSV000080335	2
MSV000080469	9
MSV000080507	39
MSV000080559	4
MSV000080562	17
MSV000080574	19
MSV000080616	1
MSV000080628	1
MSV000080629	22
MSV000080905	3
MSV000080961	8
MSV000081065	6
MSV000081151	2
MSV000081176	9
MSV000081343	6
MSV000081351	37
MSV000081354	2
MSV000081364	2
MSV000081456	1
MSV000081492	17
MSV000081544	1
MSV000081731	1
MSV000081949	4
MSV000081952	141
MSV000082048	2
MSV000082049	3
MSV000082083	31
MSV000082085	39
MSV000082157	1
MSV000082261	2
MSV000082312	8
MSV000082331	5
MSV000082377	1
MSV000082379	106
MSV000082384	7
MSV000082402	106
MSV000082428	2
MSV000082433	13
MSV000082480	1
MSV000082582	3
MSV000082608	3
MSV000082629	4
MSV000082630	2
MSV000082633	4
MSV000082647	23
MSV000082813	1
MSV000082869	10
MSV000082952	2
MSV000082972	1
MSV000082973	22
MSV000083077	230
MSV000083094	3
MSV000083134	1
MSV000083300	25
MSV000083320	58
MSV000083365	5
MSV000083372	11
MSV000083383	2
MSV000083482	22
MSV000083521	4
MSV000083541	5
MSV000083559	23
MSV000083772	7
MSV000083889	9
MSV000084112	2
MSV000084116	36
MSV000084118	2
MSV000084143	6
MSV000084152	5
MSV000084158	3
MSV000084278	1
MSV000084314	12
MSV000084738	9
MSV000084744	5
MSV000084783	1
MSV000084955	1
MSV000085025	1
MSV000085256	31
MSV000085480	18
MSV000085779	1
MSV000085852	9
MSV000085944	5
MSV000086124	1
MSV000086236	2
MSV000086287	1
MSV000086415	85
MSV000086483	5
MSV000087087	19
MSV000087364	1
MSV000087612	5
MSV000087685	1
MSV000088021	113
MSV000088087	3
MSV000088137	55
MSV000088164	2
MSV000088640	6
MSV000088646	51
MSV000088842	7
MSV000089313	2
MSV000089459	1
