Dataset	Frequency
MSV000079389	2
MSV000079697	222
MSV000079706	7
MSV000079709	48
MSV000079710	36
MSV000079712	13
MSV000079714	9
MSV000079717	15
MSV000079718	16
MSV000079719	6
MSV000079720	75
MSV000080442	1
MSV000080443	2
MSV000080444	1
MSV000080627	25
MSV000080629	1
MSV000080905	33
MSV000081171	1
MSV000081357	1
MSV000081463	1
MSV000082262	1
MSV000082312	4
MSV000082331	22
MSV000082433	235
MSV000082490	22
MSV000082674	2
MSV000082953	25
MSV000083264	1
MSV000083300	3
MSV000083320	232
MSV000083462	3
MSV000083475	3
MSV000083521	16
MSV000083522	1
MSV000083541	1
MSV000083559	254
MSV000083631	1
MSV000084314	7
MSV000084701	1
MSV000085000	1
MSV000085129	1
MSV000085944	217
MSV000086415	220
MSV000087087	95
MSV000087612	81
MSV000087646	1
MSV000087702	1
MSV000087728	9
MSV000087747	5
MSV000087809	3
MSV000087948	10
MSV000087951	6
MSV000088008	4
MSV000088021	146
MSV000088137	327
MSV000088164	42
MSV000088332	1
MSV000088640	111
MSV000088823	22
MSV000088842	225
MSV000089210	1
