Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000079697:group3_P1_G2:scan:2447	0.99	10	NoID
0.0	mzspec:MSV000079697:group3_P1_F11:scan:2273	0.99	10	NoID
0.0	mzspec:MSV000079706:group3_P1_F11:scan:2273	0.99	10	NoID
0.0	mzspec:MSV000079706:group3_P1_G2:scan:2447	0.99	10	NoID
0.0	mzspec:MSV000079706:group3_P1_G1:scan:2355	0.97	9	NoID
0.0	mzspec:MSV000079697:group3_P1_G1:scan:2311	0.97	9	NoID
0.0	mzspec:MSV000084314:MSV000079697:scan:187565	0.96	8	NoID
-0.0	mzspec:MSV000084314:MSV000079706:scan:5475	0.95	8	NoID
0.0	mzspec:MSV000084314:MSV000082086:scan:11026	0.93	7	NoID
0.0	mzspec:MSV000082086:9_12_2016_KUR_52:scan:3495	0.93	7	NoID
0.0	mzspec:MSV000082086:9_20_2016_LIS_54:scan:3344	0.92	7	NoID
-0.0	mzspec:MSV000079697:group3_P1_G3:scan:2130	0.89	7	NoID
0.0	mzspec:MSV000082729:20160307_S00021693_P:scan:358	0.74	7	NoID
0.0	mzspec:MSV000082729:20160307_TP_CS00000001-14_P:scan:388	0.71	5	NoID
0.0	mzspec:MSV000084314:MSV000082729:scan:4635	0.71	5	NoID
0.0	mzspec:MSV000082729:20160307_TP_CS00000001-11_P:scan:405	0.71	5	NoID
