Dataset	Frequency
MSV000078891	1
MSV000079516	3
MSV000079519	1
MSV000079598	83
MSV000079697	233
MSV000079706	35
MSV000079707	28
MSV000079709	8
MSV000079710	33
MSV000079712	28
MSV000079714	11
MSV000079717	38
MSV000079718	33
MSV000079719	8
MSV000079720	11
MSV000079808	1
MSV000079813	33
MSV000079819	18
MSV000079888	8
MSV000080016	39
MSV000080142	4
MSV000080177	1
MSV000080178	1
MSV000080181	43
MSV000080183	12
MSV000080188	54
MSV000080299	41
MSV000080335	6
MSV000080469	18
MSV000080507	10
MSV000080533	21
MSV000080559	19
MSV000080627	6
MSV000080628	116
MSV000080630	118
MSV000080905	285
MSV000080961	34
MSV000081064	2
MSV000081065	9
MSV000081067	32
MSV000081108	1
MSV000081151	7
MSV000081160	2
MSV000081176	7
MSV000081343	13
MSV000081351	179
MSV000081354	6
MSV000081364	1
MSV000081463	21
MSV000081482	8
MSV000081492	4
MSV000081949	2
MSV000081952	33
MSV000082048	32
MSV000082049	21
MSV000082082	1
MSV000082083	36
MSV000082085	11
MSV000082086	28
MSV000082157	7
MSV000082261	2
MSV000082331	12
MSV000082377	3
MSV000082380	2
MSV000082382	1
MSV000082433	95
MSV000082480	21
MSV000082546	1
MSV000082554	1
MSV000082555	1
MSV000082557	1
MSV000082582	32
MSV000082608	29
MSV000082612	1
MSV000082616	1
MSV000082629	4
MSV000082630	1
MSV000082633	1
MSV000082647	50
MSV000082662	1
MSV000082680	5
MSV000082813	36
MSV000082869	705
MSV000082952	2
MSV000082953	227
MSV000082972	36
MSV000082973	9
MSV000083077	138
MSV000083083	5
MSV000083098	4
MSV000083134	22
MSV000083183	3
MSV000083264	1
MSV000083274	12
MSV000083300	1
MSV000083306	89
MSV000083320	327
MSV000083383	19
MSV000083387	4
MSV000083395	1
MSV000083396	1
MSV000083475	21
MSV000083482	7
MSV000083483	3
MSV000083521	13
MSV000083541	6
MSV000083559	256
MSV000083631	1
MSV000083647	5
MSV000083729	14
MSV000083756	11
MSV000083772	20
MSV000083835	39
MSV000083889	45
MSV000084112	2
MSV000084116	11
MSV000084118	1
MSV000084143	5
MSV000084152	3
MSV000084158	3
MSV000084314	24
MSV000084556	1
MSV000084595	2
MSV000084628	4
MSV000084741	1
MSV000084744	1
MSV000084753	3
MSV000085000	4
MSV000085031	1
MSV000085129	53
MSV000085256	19
MSV000085389	3
MSV000085404	4
MSV000085443	4
MSV000085444	4
MSV000085480	86
MSV000085778	1
MSV000085779	1
MSV000085843	3
MSV000085844	2
MSV000085852	64
MSV000085864	51
MSV000085891	28
MSV000085917	1
MSV000085922	1
MSV000085925	3
MSV000085944	5
MSV000086063	2
MSV000086064	2
MSV000086124	1
MSV000086209	79
MSV000086236	53
MSV000086251	1
MSV000086287	2
MSV000086415	20
MSV000086760	2
MSV000086989	2
MSV000087087	17
MSV000087135	10
MSV000087368	4
MSV000087449	7
MSV000087612	5
MSV000087628	2
MSV000087629	1
MSV000087728	26
MSV000087747	17
MSV000087948	6
MSV000088021	244
MSV000088040	3
MSV000088087	2
MSV000088137	1
MSV000088164	37
MSV000088546	2
MSV000088586	1
MSV000088640	1
MSV000088690	2
MSV000088823	17
MSV000088842	40
MSV000089061	1
MSV000089313	5
MSV000089540	69
MSV000089558	13
