Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000083320:99614:scan:3137	0.92	10	NoID
0.01	mzspec:MSV000083320:99771:scan:3113	0.92	10	NoID
0.01	mzspec:MSV000083320:99893:scan:3109	0.91	10	NoID
0.01	mzspec:MSV000088021:KB_2020_16:scan:3105	0.91	10	NoID
0.01	mzspec:MSV000083320:99745:scan:3109	0.91	10	NoID
0.01	mzspec:MSV000083320:99613:scan:3139	0.9	10	NoID
0.0	mzspec:MSV000083320:99674:scan:3122	0.9	10	NoID
0.02	mzspec:MSV000083320:99529:scan:3085	0.85	9	NoID
0.01	mzspec:MSV000088842:25B:scan:2461	0.84	9	NoID
0.02	mzspec:MSV000083320:99782:scan:3088	0.76	7	NoID
0.01	mzspec:MSV000083320:99776:scan:3107	0.75	8	NoID
0.01	mzspec:MSV000088842:25D:scan:2463	0.74	8	NoID
0.0	mzspec:MSV000088842:40E_20211120211720:scan:2441	0.7	8	NoID
